contrast,partition,geometry,metric,mean_seed_effect,seed_ci_low,seed_ci_high,seed_sd,seed_count,favorable_seed_fraction
r4_smooth_residual_vs_r1_linear,heldout_dense,functional,rho,-0.004346155865141392,-0.07597398755666701,0.06728167582638422,0.057686968290249926,5,0.4
r4_smooth_residual_vs_r1_linear,heldout_dense,functional,stress,-0.0004975243674336813,-0.04802910236062143,0.04703405362575407,0.03828054776650411,5,0.4
r4_smooth_residual_vs_r1_linear,heldout_dense,nominal,rho,-0.004102365395581011,-0.0853939072149657,0.07718917642380368,0.0654698388106475,5,0.4
r4_smooth_residual_vs_r1_linear,heldout_dense,nominal,stress,0.00037055108036855133,-0.052707792234048076,0.053448894394785174,0.04274775091425826,5,0.4
r4_smooth_residual_vs_r1_linear,trained,functional,rho,-0.020744929935408232,-0.09629434834150513,0.05480448847068867,0.06084529994860869,5,0.2
r4_smooth_residual_vs_r1_linear,trained,functional,stress,0.007066562574388077,-0.04025903432560543,0.054392159474381585,0.03811465659667698,5,0.4
r4_smooth_residual_vs_r1_linear,trained,nominal,rho,-0.022084577223401028,-0.10741265422765789,0.06324349978085583,0.06872074661719706,5,0.2
r4_smooth_residual_vs_r1_linear,trained,nominal,stress,0.009530115771983474,-0.04353444493281641,0.06259467647678336,0.0427366508021211,5,0.4
r5_smooth_residual_continuity_vs_r0_mlp,heldout_dense,functional,rho,0.04957361049464746,0.024318843928703208,0.07482837706059171,0.020339453026324884,5,1.0
r5_smooth_residual_continuity_vs_r0_mlp,heldout_dense,functional,stress,-0.039398101019117,-0.05916526242484691,-0.019630939613387084,0.015919895748226384,5,1.0
r5_smooth_residual_continuity_vs_r0_mlp,heldout_dense,nominal,rho,0.040522240933310034,0.02358056199745645,0.05746391986916362,0.013644334506244842,5,1.0
r5_smooth_residual_continuity_vs_r0_mlp,heldout_dense,nominal,stress,-0.03223450387998886,-0.04764664262963507,-0.016822365130342645,0.012412487413617482,5,1.0
r5_smooth_residual_continuity_vs_r0_mlp,trained,functional,rho,0.049454912675932314,0.01746424714663418,0.08144557820523045,0.025764349756115117,5,1.0
