model_seed,method,total_forward_images,total_optimizer_steps,total_wall_seconds
0,r0_mlp,15360,80,11.178085682000528
0,r1_linear,15360,80,11.696685625999635
0,r2_prototype_energy,15360,80,9.95354891399893
0,r3_hybrid_energy,15360,80,12.053658959000131
0,r4_smooth_residual,15360,80,10.969508806000704
0,r5_smooth_residual_continuity,15360,80,11.859967009000684
1,r0_mlp,15360,80,11.234394967999833
1,r1_linear,15360,80,12.086582710000584
1,r2_prototype_energy,15360,80,11.635201691997281
1,r3_hybrid_energy,15360,80,11.297704525999507
1,r4_smooth_residual,15360,80,11.118381809999846
1,r5_smooth_residual_continuity,15360,80,12.198160109999662
2,r0_mlp,15360,80,11.713236255001902
2,r1_linear,15360,80,11.62035766199915
2,r2_prototype_energy,15360,80,13.183390371001224
2,r3_hybrid_energy,15360,80,11.895641290004278
2,r4_smooth_residual,15360,80,11.172650822998548
2,r5_smooth_residual_continuity,15360,80,13.062376575000599
3,r0_mlp,15360,80,11.505211341996983
3,r1_linear,15360,80,12.515324526999393
3,r2_prototype_energy,15360,80,12.974310991998209
3,r3_hybrid_energy,15360,80,11.25468479999654
3,r4_smooth_residual,15360,80,12.423609510999086
3,r5_smooth_residual_continuity,15360,80,12.929149915995367
4,r0_mlp,15360,80,12.727828055001737
4,r1_linear,15360,80,11.540001362998737
4,r2_prototype_energy,15360,80,12.238921111000309
4,r3_hybrid_energy,15360,80,13.930207735000295
4,r4_smooth_residual,15360,80,11.580411990998982
4,r5_smooth_residual_continuity,15360,80,12.677871781001159
