model_seed,method,angle,best_accuracy,final_accuracy,forgetting
2,r0_mlp,-60.0,0.5984375,0.284375,0.31406249999999997
2,r0_mlp,-30.0,0.7515625,0.6328125,0.11875000000000002
2,r0_mlp,0.0,0.9375,0.9046875,0.03281250000000002
2,r0_mlp,30.0,0.8125,0.8125,0.0
2,r0_mlp,60.0,0.5609375,0.5609375,0.0
2,r1_linear,-60.0,0.5953125,0.2734375,0.321875
2,r1_linear,-30.0,0.7546875,0.61875,0.13593749999999993
2,r1_linear,0.0,0.9375,0.8953125,0.042187500000000044
2,r1_linear,30.0,0.8140625,0.8140625,0.0
2,r1_linear,60.0,0.559375,0.559375,0.0
2,r2_prototype_energy,-60.0,0.590625,0.3015625,0.28906249999999994
2,r2_prototype_energy,-30.0,0.79375,0.603125,0.19062499999999993
2,r2_prototype_energy,0.0,0.928125,0.8984375,0.029687499999999978
2,r2_prototype_energy,30.0,0.8109375,0.8109375,0.0
2,r2_prototype_energy,60.0,0.5546875,0.5546875,0.0
