model_seed,method,angle,host,baseline_accuracy,ablated_accuracy,accuracy_drop,is_top_host,is_random_control
2,r0_mlp,-75.0,0,0.234375,0.1796875,0.0546875,1,1
2,r0_mlp,-75.0,1,0.234375,0.265625,-0.03125,0,0
2,r0_mlp,-75.0,2,0.234375,0.2734375,-0.0390625,0,0
2,r0_mlp,-75.0,3,0.234375,0.2578125,-0.0234375,0,0
2,r0_mlp,-60.0,0,0.28125,0.2109375,0.0703125,1,0
2,r0_mlp,-60.0,1,0.28125,0.296875,-0.015625,0,0
2,r0_mlp,-60.0,2,0.28125,0.296875,-0.015625,0,1
2,r0_mlp,-60.0,3,0.28125,0.28125,0.0,0,0
2,r0_mlp,-45.0,0,0.375,0.3671875,0.0078125,1,0
2,r0_mlp,-45.0,1,0.375,0.40625,-0.03125,0,1
2,r0_mlp,-45.0,2,0.375,0.390625,-0.015625,0,0
2,r0_mlp,-45.0,3,0.375,0.3984375,-0.0234375,0,0
2,r0_mlp,-30.0,0,0.6484375,0.5390625,0.109375,1,0
2,r0_mlp,-30.0,1,0.6484375,0.6640625,-0.015625,0,0
2,r0_mlp,-30.0,2,0.6484375,0.6484375,0.0,0,1
2,r0_mlp,-30.0,3,0.6484375,0.65625,-0.0078125,0,0
2,r0_mlp,-15.0,0,0.8671875,0.765625,0.1015625,1,0
2,r0_mlp,-15.0,1,0.8671875,0.859375,0.0078125,0,0
2,r0_mlp,-15.0,2,0.8671875,0.8671875,0.0,0,0
2,r0_mlp,-15.0,3,0.8671875,0.859375,0.0078125,0,1
2,r0_mlp,0.0,0,0.9453125,0.859375,0.0859375,1,0
2,r0_mlp,0.0,1,0.9453125,0.9375,0.0078125,0,0
2,r0_mlp,0.0,2,0.9453125,0.953125,-0.0078125,0,0
2,r0_mlp,0.0,3,0.9453125,0.9453125,0.0,0,1
2,r0_mlp,15.0,0,0.921875,0.84375,0.078125,1,0
2,r0_mlp,15.0,1,0.921875,0.9140625,0.0078125,0,1
2,r0_mlp,15.0,2,0.921875,0.9140625,0.0078125,0,0
2,r0_mlp,15.0,3,0.921875,0.921875,0.0,0,0
2,r0_mlp,30.0,0,0.8671875,0.7734375,0.09375,1,0
2,r0_mlp,30.0,1,0.8671875,0.828125,0.0390625,0,0
2,r0_mlp,30.0,2,0.8671875,0.84375,0.0234375,0,1
2,r0_mlp,30.0,3,0.8671875,0.8671875,0.0,0,0
2,r0_mlp,45.0,0,0.71875,0.7109375,0.0078125,1,1
2,r0_mlp,45.0,1,0.71875,0.6875,0.03125,0,0
2,r0_mlp,45.0,2,0.71875,0.6953125,0.0234375,0,0
2,r0_mlp,45.0,3,0.71875,0.734375,-0.015625,0,0
2,r0_mlp,60.0,0,0.625,0.59375,0.03125,1,0
2,r0_mlp,60.0,1,0.625,0.578125,0.046875,0,1
2,r0_mlp,60.0,2,0.625,0.5859375,0.0390625,0,0
2,r0_mlp,60.0,3,0.625,0.6328125,-0.0078125,0,0
2,r0_mlp,75.0,0,0.4609375,0.3984375,0.0625,1,0
2,r0_mlp,75.0,1,0.4609375,0.453125,0.0078125,0,1
2,r0_mlp,75.0,2,0.4609375,0.4765625,-0.015625,0,0
2,r0_mlp,75.0,3,0.4609375,0.46875,-0.0078125,0,0
2,r1_linear,-75.0,0,0.1953125,0.1875,0.0078125,1,1
2,r1_linear,-75.0,1,0.1953125,0.2421875,-0.046875,0,0
2,r1_linear,-75.0,2,0.1953125,0.2734375,-0.078125,0,0
2,r1_linear,-75.0,3,0.1953125,0.296875,-0.1015625,0,0
2,r1_linear,-60.0,0,0.265625,0.234375,0.03125,1,0
2,r1_linear,-60.0,1,0.265625,0.2265625,0.0390625,0,0
2,r1_linear,-60.0,2,0.265625,0.2421875,0.0234375,0,1
2,r1_linear,-60.0,3,0.265625,0.296875,-0.03125,0,0
2,r1_linear,-45.0,0,0.3671875,0.390625,-0.0234375,1,0
2,r1_linear,-45.0,1,0.3671875,0.3671875,0.0,0,1
2,r1_linear,-45.0,2,0.3671875,0.3984375,-0.03125,0,0
2,r1_linear,-45.0,3,0.3671875,0.40625,-0.0390625,0,0
2,r1_linear,-30.0,0,0.6328125,0.578125,0.0546875,1,0
2,r1_linear,-30.0,1,0.6328125,0.625,0.0078125,0,0
