model_seed,method,stage,angle,angle_type,accuracy,nll
2,r1_linear,3,75.0,heldout,0.41875,1.6949893236160278
2,r1_linear,4,-75.0,heldout,0.2328125,2.3926257133483886
2,r1_linear,4,-60.0,train,0.2734375,2.142504596710205
2,r1_linear,4,-45.0,heldout,0.403125,1.6783753156661987
2,r1_linear,4,-30.0,train,0.61875,1.1433976411819458
2,r1_linear,4,-15.0,heldout,0.81875,0.5929332613945008
2,r1_linear,4,0.0,train,0.8953125,0.39030884504318236
2,r1_linear,4,15.0,heldout,0.8796875,0.45059092044830323
2,r1_linear,4,30.0,train,0.8140625,0.6384966611862183
2,r1_linear,4,45.0,heldout,0.6734375,0.9400947690010071
2,r1_linear,4,60.0,train,0.559375,1.232725691795349
2,r1_linear,4,75.0,heldout,0.3859375,1.706104826927185
2,r2_prototype_energy,0,-75.0,heldout,0.5234375,1.4459473848342896
2,r2_prototype_energy,0,-60.0,train,0.5625,1.3095752477645874
2,r2_prototype_energy,0,-45.0,heldout,0.49375,1.454109501838684
2,r2_prototype_energy,0,-30.0,train,0.334375,1.9197044134140016
2,r2_prototype_energy,0,-15.0,heldout,0.2140625,2.2946099281311034
2,r2_prototype_energy,0,0.0,train,0.1609375,2.483979368209839
2,r2_prototype_energy,0,15.0,heldout,0.134375,2.4812702178955077
2,r2_prototype_energy,0,30.0,train,0.1375,2.374602937698364
2,r2_prototype_energy,0,45.0,heldout,0.128125,2.3209227085113526
2,r2_prototype_energy,0,60.0,train,0.121875,2.3701436519622803
2,r2_prototype_energy,0,75.0,heldout,0.1625,2.4260262966156008
2,r2_prototype_energy,1,-75.0,heldout,0.4609375,1.5326245546340942
2,r2_prototype_energy,1,-60.0,train,0.590625,1.1825541257858276
2,r2_prototype_energy,1,-45.0,heldout,0.7296875,0.9012054562568664
2,r2_prototype_energy,1,-30.0,train,0.79375,0.7932541370391846
2,r2_prototype_energy,1,-15.0,heldout,0.8125,0.7576582789421081
2,r2_prototype_energy,1,0.0,train,0.7390625,0.8530557513236999
2,r2_prototype_energy,1,15.0,heldout,0.6328125,1.095971167087555
2,r2_prototype_energy,1,30.0,train,0.453125,1.5292374610900878
2,r2_prototype_energy,1,45.0,heldout,0.2640625,2.0306886196136475
2,r2_prototype_energy,1,60.0,train,0.146875,2.4208935260772706
2,r2_prototype_energy,1,75.0,heldout,0.1328125,2.58272385597229
2,r2_prototype_energy,2,-75.0,heldout,0.234375,2.173202466964722
2,r2_prototype_energy,2,-60.0,train,0.3234375,1.8285916328430176
2,r2_prototype_energy,2,-45.0,heldout,0.4890625,1.3964774370193482
2,r2_prototype_energy,2,-30.0,train,0.7015625,0.8993273138999939
2,r2_prototype_energy,2,-15.0,heldout,0.865625,0.41276636719703674
2,r2_prototype_energy,2,0.0,train,0.928125,0.26952366828918456
2,r2_prototype_energy,2,15.0,heldout,0.871875,0.4574938178062439
2,r2_prototype_energy,2,30.0,train,0.659375,1.0698307752609253
2,r2_prototype_energy,2,45.0,heldout,0.39375,1.9856282711029052
2,r2_prototype_energy,2,60.0,train,0.2265625,2.692242240905762
2,r2_prototype_energy,2,75.0,heldout,0.15625,3.0834986209869384
2,r2_prototype_energy,3,-75.0,heldout,0.3,2.0941800594329836
2,r2_prototype_energy,3,-60.0,train,0.3,2.039211463928223
2,r2_prototype_energy,3,-45.0,heldout,0.353125,1.9240201950073241
2,r2_prototype_energy,3,-30.0,train,0.44375,1.612759518623352
2,r2_prototype_energy,3,-15.0,heldout,0.6125,1.089660358428955
2,r2_prototype_energy,3,0.0,train,0.721875,0.8042411804199219
2,r2_prototype_energy,3,15.0,heldout,0.684375,0.896332037448883
2,r2_prototype_energy,3,30.0,train,0.6296875,1.0356127262115478
2,r2_prototype_energy,3,45.0,heldout,0.5796875,1.1198299407958985
2,r2_prototype_energy,3,60.0,train,0.5484375,1.269824481010437
2,r2_prototype_energy,3,75.0,heldout,0.4296875,1.7075772762298584
2,r2_prototype_energy,4,-75.0,heldout,0.246875,2.146660661697388
2,r2_prototype_energy,4,-60.0,train,0.3015625,1.9066072225570678
2,r2_prototype_energy,4,-45.0,heldout,0.4421875,1.584928560256958
2,r2_prototype_energy,4,-30.0,train,0.603125,1.157037878036499
2,r2_prototype_energy,4,-15.0,heldout,0.8015625,0.6456679105758667
2,r2_prototype_energy,4,0.0,train,0.8984375,0.38590031266212466
2,r2_prototype_energy,4,15.0,heldout,0.8671875,0.44336535334587096
2,r2_prototype_energy,4,30.0,train,0.8109375,0.6126111030578614
2,r2_prototype_energy,4,45.0,heldout,0.678125,0.935152816772461
2,r2_prototype_energy,4,60.0,train,0.5546875,1.2521769762039185
2,r2_prototype_energy,4,75.0,heldout,0.3703125,1.7885130882263183
