model_seed,method,space,mae,rmse,r2
1,d4_no_geo,context,43.7720250548486,50.79114719673022,0.017241663405746177
1,d4_no_geo,route,44.96541397851187,51.25322861525613,-0.0007213118048416955
1,d4_full_legacy_route,context,39.83704341806578,48.25986844203951,0.11275622779315764
1,d4_full_legacy_route,route,40.90915084710105,48.77009677272324,0.09389625172541338
1,d4_full_stationary_route,context,40.13789377070733,48.51675247537597,0.1032856111402286
1,d4_full_stationary_route,route,41.13509204813294,48.866661123087916,0.09030454502144314
