model_seed,method,angle,best_accuracy,final_accuracy,forgetting
1,d4_no_geo,-60.0,0.58203125,0.31640625,0.265625
1,d4_no_geo,-30.0,0.7578125,0.6171875,0.140625
1,d4_no_geo,0.0,0.91796875,0.87109375,0.046875
1,d4_no_geo,30.0,0.78515625,0.78515625,0.0
1,d4_no_geo,60.0,0.54296875,0.54296875,0.0
1,d4_full_legacy_route,-60.0,0.57421875,0.26953125,0.3046875
1,d4_full_legacy_route,-30.0,0.76171875,0.60546875,0.15625
1,d4_full_legacy_route,0.0,0.92578125,0.90234375,0.0234375
1,d4_full_legacy_route,30.0,0.7890625,0.7890625,0.0
1,d4_full_legacy_route,60.0,0.54296875,0.54296875,0.0
1,d4_full_stationary_route,-60.0,0.57421875,0.2734375,0.30078125
1,d4_full_stationary_route,-30.0,0.76171875,0.61328125,0.1484375
1,d4_full_stationary_route,0.0,0.92578125,0.91015625,0.015625
1,d4_full_stationary_route,30.0,0.7890625,0.7890625,0.0
1,d4_full_stationary_route,60.0,0.53125,0.53125,0.0
