contrast,partition,geometry,metric,mean_seed_effect,seed_ci_low,seed_ci_high,seed_sd,seed_count,favorable_seed_fraction
r1_linear_vs_r0_mlp,heldout_dense,functional,rho,0.03868776087512875,-0.010363260596014175,0.08773878234627167,0.03950426326454001,5,0.8
r1_linear_vs_r0_mlp,heldout_dense,functional,stress,-0.021538877574965653,-0.06204218403257153,0.01896442888264022,0.0326201826872643,5,0.6
r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,0.03028188853815923,-0.023489413872129595,0.08405319094844806,0.04330583997609355,5,0.8
r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,-0.022563277097736006,-0.07424520428906577,0.029118650093593754,0.041623118062611625,5,0.8
r1_linear_vs_r0_mlp,trained,functional,rho,0.04941833092657516,-0.032141046718192276,0.1309777085713426,0.0656855459792295,5,0.6
r1_linear_vs_r0_mlp,trained,functional,stress,-0.02391238307694382,-0.08385360680891467,0.036028840655027025,0.04827491480681075,5,0.6
r1_linear_vs_r0_mlp,trained,nominal,rho,0.04293958498275411,-0.04021671404974544,0.12609588401525365,0.06697165992796464,5,0.6
r1_linear_vs_r0_mlp,trained,nominal,stress,-0.026992680619593583,-0.09299953388456128,0.03901417264537411,0.05315999607015703,5,0.6
r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,0.02971246777237755,-0.007527732825656358,0.06695266837041146,0.02999217232029507,5,0.8
r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.050164328179978,-0.05915059533917144,-0.04117806102078456,0.007237277695248702,5,1.0
r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.0394329643671892,-0.0009380224731261738,0.07980395120750457,0.03251361632351217,5,0.8
r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.029556970549040627,-0.05724451123651392,-0.0018694298615673337,0.02229873840872171,5,0.8
r2_prototype_energy_vs_r0_mlp,trained,functional,rho,0.0458814143466556,-0.01916926013799121,0.11093208883130241,0.052389917545126,5,0.8
r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.05123346189272169,-0.06474092675780346,-0.03772599702763991,0.010878518572353021,5,1.0
r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.06648216541554318,-0.002473058402650233,0.1354373892337366,0.05553452779330511,5,1.0
r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,-0.032673563726550794,-0.06559832977426241,0.00025120232116081914,0.026516647092403183,5,0.8
r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,rho,0.021787683761361042,-0.01484928758069885,0.05842465510342093,0.029506349056637054,5,0.8
r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.04159777952272035,-0.06239562332669667,-0.020799935718744025,0.016749977315975332,5,1.0
r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.029864044352742515,-0.0127326215395865,0.07246071024507153,0.034306113372015945,5,0.8
r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.025260840765261174,-0.05509784382520684,0.004576162294684494,0.024029852764603708,5,0.8
r3_hybrid_energy_vs_r0_mlp,trained,functional,rho,0.04073470274512367,-0.029742222624325867,0.1112116281145732,0.056760061877773584,5,0.6
r3_hybrid_energy_vs_r0_mlp,trained,functional,stress,-0.03944957974331448,-0.05505773741994013,-0.02384142206668883,0.012570355345089287,5,1.0
r3_hybrid_energy_vs_r0_mlp,trained,nominal,rho,0.05647875375004151,-0.00928915081491885,0.12224665831500187,0.05296755375053352,5,0.8
r3_hybrid_energy_vs_r0_mlp,trained,nominal,stress,-0.024764937195076057,-0.0527185591992942,0.003188684809142084,0.022513032547176053,5,0.8
r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,rho,-0.01690007711376771,-0.046999594962135544,0.01319944073460012,0.02424127452508152,5,0.2
r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,stress,-0.020058901947754698,-0.07293959515839804,0.03282179126288865,0.0425885692805319,5,0.6
r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,rho,-0.0004178441854167214,-0.037087659482506634,0.036251971111673185,0.02953280062089077,5,0.4
r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,stress,-0.002697563667525169,-0.04770545650941687,0.042310329174366536,0.03624804529003149,5,0.4
r3_hybrid_energy_vs_r1_linear,trained,functional,rho,-0.008683628181451488,-0.07241134291352853,0.05504408655062555,0.05132444431365307,5,0.6
r3_hybrid_energy_vs_r1_linear,trained,functional,stress,-0.015537196666370661,-0.07641493454206345,0.045340541209322134,0.0490291560065852,5,0.4
r3_hybrid_energy_vs_r1_linear,trained,nominal,rho,0.013539168767287413,-0.048846334347047916,0.07592467188162275,0.05024346619100202,5,0.4
r3_hybrid_energy_vs_r1_linear,trained,nominal,stress,0.0022277434245175226,-0.04964078268181422,0.05409626953084926,0.04177339939095159,5,0.4
r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,rho,-0.007924784011016506,-0.02598049956509966,0.010130931543066645,0.014541547133687669,5,0.2
r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,stress,0.008566548657257648,-0.003473249022570771,0.020606346337086065,0.009696502191611903,5,0.2
r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,rho,-0.009568920014446685,-0.024124106382974658,0.0049862663540812865,0.011722322938882018,5,0.2
r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,stress,0.0042961297837794486,-0.011522107070001236,0.02011436663756013,0.01273954699231345,5,0.4
r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,rho,-0.005146711601531936,-0.03542811005598469,0.025134686852920817,0.02438775586491906,5,0.6
r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,stress,0.011783882149407208,-0.0006225078074054737,0.02419027210621989,0.009991744928386575,5,0.0
r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,rho,-0.010003411665501673,-0.02545583023664886,0.005449006905645513,0.0124449276080334,5,0.2
r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,stress,0.00790862653147474,-0.008610204419276646,0.024427457482226127,0.01330378506153685,5,0.2
