model_seed,method,source_index,scale,signed_route_effect,orthogonal_abs_effect,class_log_prob_drop,prediction_preserved
0,d4_no_geo,5539,-0.5,-0.01569211855530739,0.01922617107629776,-3.555417060852051e-05,1
0,d4_no_geo,6190,-0.5,-0.002899189479649067,0.04776414483785629,-0.0008438527584075928,1
0,d4_no_geo,2445,-0.5,0.009156717918813229,0.016336511820554733,0.0001745261251926422,1
0,d4_no_geo,4846,-0.5,-0.0024544368498027325,0.04236757382750511,-0.00018018484115600586,1
0,d4_no_geo,2634,-0.5,-0.034245170652866364,0.06421108543872833,0.0022835731506347656,1
0,d4_no_geo,3782,-0.5,0.00247371569275856,0.0534537173807621,-0.013442158699035645,1
0,d4_no_geo,5255,-0.5,-0.01970728673040867,0.021917220205068588,-0.0007693320512771606,1
0,d4_no_geo,4626,-0.5,-0.002991210203617811,0.04303833842277527,-0.00033123791217803955,1
0,d4_no_geo,3512,-0.5,-0.016627568751573563,0.02780095860362053,-2.119317650794983e-05,1
0,d4_no_geo,3800,-0.5,-0.01443651132285595,0.03404048830270767,-0.001945778727531433,1
0,d4_no_geo,7462,-0.5,-0.0031790570355951786,0.032362692058086395,-0.005321502685546875,1
0,d4_no_geo,9545,-0.5,0.003617013106122613,0.04872046783566475,0.00014632940292358398,1
0,d4_no_geo,7145,-0.5,-0.008630504831671715,0.054013170301914215,0.0005897507071495056,1
0,d4_no_geo,9862,-0.5,-0.017481237649917603,0.026572689414024353,-0.000803530216217041,1
0,d4_no_geo,7552,-0.5,-0.006824464071542025,0.04394565895199776,-0.004739612340927124,1
0,d4_no_geo,6256,-0.5,-0.019539758563041687,0.023863255977630615,0.003782898187637329,1
0,d4_no_geo,6613,-0.5,-0.03141458332538605,0.01728450506925583,0.0033593326807022095,1
0,d4_no_geo,2169,-0.5,-0.019869137555360794,0.027396030724048615,0.01236635446548462,1
0,d4_no_geo,1455,-0.5,-0.004004315473139286,0.04601973295211792,-0.002314627170562744,1
0,d4_no_geo,9470,-0.5,0.024253614246845245,0.025519993156194687,0.007823050022125244,1
0,d4_no_geo,2730,-0.5,0.006297461688518524,0.04429510980844498,0.054499149322509766,1
0,d4_no_geo,8884,-0.5,-0.01802302710711956,0.011933311820030212,-0.0007570311427116394,1
0,d4_no_geo,991,-0.5,-0.0074353027157485485,0.05388937145471573,0.005033284425735474,1
0,d4_no_geo,6068,-0.5,-0.024157948791980743,0.013470901176333427,0.002115681767463684,1
0,d4_no_geo,1285,-0.5,-0.013304438441991806,0.04749308153986931,1.4990568161010742e-05,1
0,d4_no_geo,8158,-0.5,-0.0056354207918047905,0.06048335134983063,-0.003405824303627014,1
0,d4_no_geo,5583,-0.5,-0.01817878521978855,0.03988465294241905,0.008914589881896973,1
0,d4_no_geo,4545,-0.5,-0.005163420923054218,0.056658778339624405,-0.00235140323638916,1
0,d4_no_geo,906,-0.5,-0.0033315110486000776,0.04756975173950195,-0.001863628625869751,1
0,d4_no_geo,4698,-0.5,-0.01391394529491663,0.01370429340749979,-0.000730171799659729,1
0,d4_no_geo,9751,-0.5,-0.024262050166726112,0.04322762414813042,-0.003895401954650879,1
0,d4_no_geo,9484,-0.5,-0.020119713619351387,0.026814334094524384,0.0015471577644348145,1
0,d4_no_geo,8365,-0.5,0.024888774380087852,0.0315135195851326,0.005881160497665405,1
0,d4_no_geo,2158,-0.5,0.026479968801140785,0.03175675868988037,0.002253413200378418,1
0,d4_no_geo,3761,-0.5,0.03417239710688591,0.015342681668698788,0.0076469480991363525,1
0,d4_no_geo,4111,-0.5,-0.013278908096253872,0.05099593847990036,0.0036144256591796875,1
0,d4_no_geo,5075,-0.5,-0.00680089695379138,0.05492229014635086,-0.0012695789337158203,1
0,d4_no_geo,9562,-0.5,-0.004770766478031874,0.04636286571621895,-0.00180777907371521,1
0,d4_no_geo,9497,-0.5,-0.0014224842889234424,0.047206200659275055,-0.001025855541229248,1
0,d4_no_geo,2116,-0.5,-0.011600468307733536,0.019261933863162994,-0.003317728638648987,1
0,d4_no_geo,1705,-0.5,-0.008647257462143898,0.05322422832250595,0.0009932518005371094,1
0,d4_no_geo,6238,-0.5,-0.0098933856934309,0.04869408160448074,-0.00871741771697998,1
0,d4_no_geo,4517,-0.5,0.029817715287208557,0.030365630984306335,0.007493138313293457,1
0,d4_no_geo,9898,-0.5,0.023164719343185425,0.018933627754449844,0.0026324912905693054,1
0,d4_no_geo,3096,-0.5,-0.033356182277202606,0.029189251363277435,0.0012829005718231201,1
0,d4_no_geo,385,-0.5,0.024959510192275047,0.01881638541817665,0.005776062607765198,1
0,d4_no_geo,4943,-0.5,-0.005366025026887655,0.05671831965446472,-0.0007728338241577148,1
0,d4_no_geo,5644,-0.5,-0.011309711262583733,0.025657230988144875,-0.013371944427490234,1
0,d4_no_geo,582,-0.5,0.029475677758455276,0.027277881279587746,-0.009031176567077637,1
0,d4_no_geo,1731,-0.5,-0.013767527416348457,0.06298302114009857,-0.00011093169450759888,1
