model_seed,method,angle,best_accuracy,final_accuracy,forgetting
0,d4_no_geo,-60.0,0.58203125,0.33984375,0.2421875
0,d4_no_geo,-30.0,0.76171875,0.60546875,0.15625
0,d4_no_geo,0.0,0.93359375,0.87890625,0.0546875
0,d4_no_geo,30.0,0.78515625,0.78515625,0.0
0,d4_no_geo,60.0,0.53515625,0.53515625,0.0
0,d4_full_legacy_route,-60.0,0.5859375,0.30859375,0.27734375
0,d4_full_legacy_route,-30.0,0.76171875,0.60546875,0.15625
0,d4_full_legacy_route,0.0,0.9296875,0.87109375,0.05859375
0,d4_full_legacy_route,30.0,0.78515625,0.78515625,0.0
0,d4_full_legacy_route,60.0,0.55078125,0.55078125,0.0
0,d4_full_stationary_route,-60.0,0.5859375,0.3125,0.2734375
0,d4_full_stationary_route,-30.0,0.76171875,0.609375,0.15234375
0,d4_full_stationary_route,0.0,0.9296875,0.8671875,0.0625
0,d4_full_stationary_route,30.0,0.7734375,0.7734375,0.0
0,d4_full_stationary_route,60.0,0.546875,0.53125,0.015625
