model_seed,method,partition,space,source_rho_mean,source_rho_ci_low,source_rho_ci_high,source_stress_mean,source_stress_ci_low,source_stress_ci_high,centroid_rho,centroid_stress
0,d4_no_geo,C1_trained,context,0.37517759696616926,0.3314759868046665,0.4125234106099079,0.4609986669684894,0.4446743757243959,0.4766450450216079,0.451305625576247,0.44977316222719327
0,d4_no_geo,C1_trained,route,0.3041893276262435,0.2616553366902427,0.3426766892528094,0.5095861927337179,0.49232389261941295,0.5260689072890015,0.1398411797560202,0.5355046267012792
0,d4_no_geo,C1_trained,synthesis,0.5662177313842834,0.5291853933965143,0.6025722170625111,0.36935826742506495,0.36052242447759636,0.3780192630418019,0.6102160571171791,0.3653986963777362
0,d4_no_geo,dense_heldout,context,0.29775720736997524,0.26039275182585114,0.3329085295734094,0.5144959142092898,0.5014517679226521,0.5269249932190739,0.1438536671448469,0.5771524199444719
0,d4_no_geo,dense_heldout,route,0.21943303523461996,0.17951396679137915,0.25525398876623484,0.568080007050092,0.5530270107000621,0.5814196196235007,-0.06823827800460687,0.6793554384730398
0,d4_no_geo,dense_heldout,synthesis,0.4743972346498482,0.43968933157766227,0.5071124532102017,0.41517921206152963,0.4073289662356097,0.42264856669376116,0.37438839013338354,0.4633291073059872
0,d4_full_legacy_route,C1_trained,context,0.4169412447555204,0.3758200668749383,0.4544341746972091,0.4349059753894519,0.42238456168769134,0.4494772532050962,0.7500572368731993,0.34614727540042345
0,d4_full_legacy_route,C1_trained,route,0.23975611358738122,0.2042079742004494,0.27782074863629336,0.551464183515374,0.5387808451777542,0.5653925398807335,0.1398411797560202,0.58278603008747
0,d4_full_legacy_route,C1_trained,synthesis,0.5662425611392118,0.5297626851985965,0.6010427041589295,0.3704698181564555,0.3615747922127172,0.378974850971339,0.6102160571171791,0.38982500164902295
0,d4_full_legacy_route,dense_heldout,context,0.29770677789932154,0.2624274008614774,0.3341590003403699,0.4954393726786663,0.48324268695932593,0.5079334087538657,0.43893811257017384,0.46099481970831463
0,d4_full_legacy_route,dense_heldout,route,0.2042681729880303,0.17105676445749424,0.23836011609723115,0.5840033503278595,0.5715390778548349,0.5969825587450208,0.11618950038622249,0.6158052417660819
0,d4_full_legacy_route,dense_heldout,synthesis,0.4793825480344752,0.4450548471499681,0.511028841922222,0.41522462703768015,0.4073186764766932,0.4230693272959973,0.3559456122943006,0.4709952719374708
0,d4_full_stationary_route,C1_trained,context,0.4091943612179,0.3700862557181273,0.447237890975123,0.4411719251325428,0.42849841758883334,0.45500193552683976,0.6102160571171791,0.39548680804771247
0,d4_full_stationary_route,C1_trained,route,0.2916006418776103,0.2544789167720992,0.32904639528493523,0.5441210576705203,0.5313775385177835,0.5576344242307127,0.09534625892455922,0.564169028325651
0,d4_full_stationary_route,C1_trained,synthesis,0.5590667619649416,0.523919002376228,0.5937588955507213,0.3725921232718826,0.3638865341397453,0.38123763786628756,0.5339390499775316,0.4038242914986591
0,d4_full_stationary_route,dense_heldout,context,0.3003867440540633,0.2652860314265353,0.3362819009496401,0.49594446642269807,0.4834364844688491,0.5089767646801252,0.42971672365063235,0.4821435593613751
0,d4_full_stationary_route,dense_heldout,route,0.22208418454898815,0.18760807693655715,0.25724469212029133,0.5792370942845078,0.5657068242246851,0.5929652209606066,0.15491933384829668,0.5896886408704202
0,d4_full_stationary_route,dense_heldout,synthesis,0.4730644557825706,0.4386720971124753,0.5057868785530177,0.4162592576028854,0.40829083269910554,0.4240380809225873,0.4168067791632743,0.47315540227535047
