model_seed,method,stage,current_angle,seen_angles,forward_images,optimizer_steps,source_examples,wall_seconds,loss,current_ce,anchor_ce,route_geo,route_match,route_far,context_geo,context_spread,fiber,centroid,host_diversity
0,d4_no_geo,0,-60.0,[-60.0],1024,16,1024,2.5447409570000445,1.8207488730549812,1.7784091159701347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8467952646315098
0,d4_no_geo,1,-30.0,"[-60.0, -30.0]",2048,16,1024,1.6215327749999915,1.5063191689550877,1.3499905802309513,1.2004911005496979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255901247262955
0,d4_no_geo,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,3.5264190150001014,0.6558178272098303,0.5120421759784222,1.1515021249651909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5725088249891996
0,d4_no_geo,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,3.292973386999961,1.9944950491189957,1.8597861304879189,1.1543290726840496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3855202868580818
0,d4_no_geo,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,4.22840442100005,0.854480542242527,0.7105784248560667,1.2656289860606194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34678439423441887
0,d4_full_legacy_route,0,-60.0,[-60.0],1024,16,1024,0.9839008300000387,1.820873886346817,1.7784091159701347,0.0,0.0,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.8467952646315098
0,d4_full_legacy_route,1,-30.0,"[-60.0, -30.0]",2048,16,1024,1.6502633750000086,1.5844089016318321,1.3506869114935398,1.1999504789710045,0.4865276385098696,0.4865276385098696,0.0,0.037189402151852846,0.00018477204866940156,0.4846303090453148,0.016295004357743892,0.725994698703289
0,d4_full_legacy_route,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,2.3051495490000207,0.7096791677176952,0.5154467169195414,1.154296100139618,0.22611497435718775,0.22611497435718775,0.0,0.041206871275790036,1.6942746426273914e-05,0.43290434405207634,0.029272392828715965,0.5792195312678814
0,d4_full_legacy_route,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,4.101664773000039,2.0216856822371483,1.8375561088323593,1.180341713130474,0.14360826648771763,0.14360826648771763,0.0,0.07293154578655958,6.304850712623988e-07,0.41991667822003365,0.08035218832083046,0.388558192178607
0,d4_full_legacy_route,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,3.6717925100000457,0.8955505937337875,0.7057026624679565,1.2858163490891457,0.13435221929103136,0.13435221929103136,0.0,0.06514389347285032,0.0,0.4698565397411585,0.03437285986728966,0.3221044223755598
0,d4_full_stationary_route,0,-60.0,[-60.0],1024,16,1024,0.9804254989999208,1.820873886346817,1.7784091159701347,0.0,0.0,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.8467952646315098
0,d4_full_stationary_route,1,-30.0,"[-60.0, -30.0]",2048,16,1024,2.476412505999974,1.5485770478844643,1.3507094979286194,1.2000352591276169,0.12816508300602436,0.12816508300602436,0.0,0.036998262628912926,0.00018839929452951765,0.48416017182171345,0.016610042428510496,0.7259947136044502
0,d4_full_stationary_route,2,0.0,"[-60.0, -30.0, 0.0]",3072,16,1024,2.2634499120000555,0.712275043129921,0.5157298697158694,1.1531685665249825,0.24878285732120275,0.2048239605501294,0.17583559453487396,0.04182370100170374,1.6545198705308906e-05,0.434414129704237,0.029580836911918595,0.5793414823710918
0,d4_full_stationary_route,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4096,16,1024,2.9616458989999046,2.0316950529813766,1.8292335495352745,1.1828126981854439,0.3193318024277687,0.2964237267151475,0.09163229400292039,0.07353655993938446,0.0,0.41842847876250744,0.09320834721438587,0.38623037189245224
0,d4_full_stationary_route,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5120,16,1024,5.355073405999974,0.9083648025989532,0.7051747497171164,1.2955691665410995,0.23308965377509594,0.2169311661273241,0.06463395152240992,0.06975746527314186,0.0,0.4858864415436983,0.053868409944698215,0.32721320912241936
