model_seed,method,angle,best_accuracy,final_accuracy,forgetting
4,d4_no_geo,-60.0,0.58984375,0.33203125,0.2578125
4,d4_no_geo,-30.0,0.75,0.625,0.125
4,d4_no_geo,0.0,0.92578125,0.88671875,0.0390625
4,d4_no_geo,30.0,0.78515625,0.78515625,0.0
4,d4_no_geo,60.0,0.515625,0.51171875,0.00390625
4,d4_full_legacy_route,-60.0,0.5859375,0.3046875,0.28125
4,d4_full_legacy_route,-30.0,0.75390625,0.6171875,0.13671875
4,d4_full_legacy_route,0.0,0.921875,0.90234375,0.01953125
4,d4_full_legacy_route,30.0,0.796875,0.796875,0.0
4,d4_full_legacy_route,60.0,0.55078125,0.50390625,0.046875
4,d4_full_stationary_route,-60.0,0.5859375,0.33203125,0.25390625
4,d4_full_stationary_route,-30.0,0.75390625,0.60546875,0.1484375
4,d4_full_stationary_route,0.0,0.91796875,0.8984375,0.01953125
4,d4_full_stationary_route,30.0,0.796875,0.796875,0.0
4,d4_full_stationary_route,60.0,0.55859375,0.4921875,0.06640625
