model_seed,contrast,partition,geometry,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
3,r1_linear_vs_r0_mlp,trained,nominal,rho,-0.003138481022933412,-0.024095042479943107,0.017791016001204453,640
3,r1_linear_vs_r0_mlp,trained,nominal,stress,0.006268770982614441,-0.002600317119367065,0.0156604696815607,640
3,r1_linear_vs_r0_mlp,trained,functional,rho,-0.015742064624523582,-0.03659012005249674,0.005095065711281137,640
3,r1_linear_vs_r0_mlp,trained,functional,stress,0.017757689645628322,0.008206850431165974,0.027401863393408683,640
3,r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,0.022704788530333506,0.005273337704160905,0.04026418612776473,640
3,r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,-0.010362974504285938,-0.017298733094910437,-0.0030933476410606015,640
3,r1_linear_vs_r0_mlp,heldout_dense,functional,rho,0.01259872261132353,-0.00443253434416116,0.029162498373848003,640
3,r1_linear_vs_r0_mlp,heldout_dense,functional,stress,0.0003809334217994446,-0.007017140574036764,0.008024742211777992,640
3,r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.0798922194572036,0.059757771185868926,0.099161350769288,640
3,r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,-0.04098972264237375,-0.04900064288790206,-0.032693640397024465,640
3,r2_prototype_energy_vs_r0_mlp,trained,functional,rho,0.04796115461944757,0.027877110750617287,0.06817381661880627,640
3,r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.042887104707920266,-0.05172379246489366,-0.03426035730115021,640
3,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.0643278327659138,0.04738036077381526,0.08152932520590533,640
3,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.053562349894718905,-0.05973593215197923,-0.04718114235773928,640
3,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,0.04026865273802264,0.024609077384319753,0.056625235418261165,640
3,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.05798151606453918,-0.06432883228386727,-0.05160735434092472,640
3,r3_hybrid_energy_vs_r0_mlp,trained,nominal,rho,0.08600033916955815,0.06298787400448766,0.10826542871128768,640
3,r3_hybrid_energy_vs_r0_mlp,trained,nominal,stress,-0.03786369514456411,-0.046930568465613005,-0.028598296144272645,640
3,r3_hybrid_energy_vs_r0_mlp,trained,functional,rho,0.03390751333004638,0.009523949097836769,0.0572221566125939,640
3,r3_hybrid_energy_vs_r0_mlp,trained,functional,stress,-0.03552632635518808,-0.045498977623125235,-0.025578896302414,640
3,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.06576867478459215,0.047843015146012885,0.08444515719910473,640
3,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.0550308627067585,-0.06195620489755429,-0.04768107627591678,640
3,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,rho,0.03182531850856749,0.013428287403577594,0.051334535567775195,640
3,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.0580085859247995,-0.06581083472155493,-0.05031698662064294,640
3,r3_hybrid_energy_vs_r1_linear,trained,nominal,rho,0.08913882019249157,0.0677829962762353,0.111647986225166,640
3,r3_hybrid_energy_vs_r1_linear,trained,nominal,stress,-0.044132466127178555,-0.0532451081454665,-0.03524326873302901,640
3,r3_hybrid_energy_vs_r1_linear,trained,functional,rho,0.049649577954569965,0.02645958004176232,0.07394052720089708,640
3,r3_hybrid_energy_vs_r1_linear,trained,functional,stress,-0.05328401600081639,-0.06361685834176113,-0.043371398668652396,640
3,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,rho,0.04306388625425865,0.024050967228384693,0.06218587702094656,640
3,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,stress,-0.04466788820247257,-0.05207774110805348,-0.03704437100355051,640
3,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,rho,0.01922659589724396,-0.0008829479890460957,0.038628902478665725,640
3,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,stress,-0.05838951934659896,-0.06687197145269931,-0.049708380863116394,640
3,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,rho,0.006108119712354577,-0.0010728937104505728,0.013597270393819562,640
3,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,stress,0.003126027497809642,0.0008716021549441741,0.005392721368828604,640
3,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,rho,-0.01405364128940118,-0.02446500582837434,-0.0031675318361994915,640
3,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,stress,0.0073607783527321865,0.0037895633630622588,0.01101712028085206,640
3,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,rho,0.0014408420186783522,-0.0042548785232581175,0.007022880125341101,640
3,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,stress,-0.0014685128120396017,-0.0035513585017223795,0.0007153261644102747,640
3,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,rho,-0.008443334229455155,-0.016856122608114327,9.041283667205934e-05,640
3,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,stress,-2.7069860260317372e-05,-0.0033033588745891673,0.0033508468715547648,640
