method,angle,host,route_mass_mean,ablation_mean,ablation_median,positive_fraction,count
standard_anchor_no_geo,-60.0,0,0.03028181729496282,0.01733163421158679,0.008052647113800049,0.64453125,256
standard_anchor_no_geo,-60.0,1,0.3923121017824087,0.20662689831806347,0.11780428886413574,0.70703125,256
standard_anchor_no_geo,-60.0,2,0.05034183912903245,-0.009721936221467331,0.01088327169418335,0.5859375,256
standard_anchor_no_geo,-60.0,3,0.5270642407995183,-0.11703099933220074,-0.022371351718902588,0.4921875,256
standard_anchor_no_geo,-45.0,0,0.030340335688379128,0.01785012184700463,0.004377797245979309,0.6171875,256
standard_anchor_no_geo,-45.0,1,0.33560836978358566,0.2880830445647007,0.11136078834533691,0.75390625,256
standard_anchor_no_geo,-45.0,2,0.04970653047257656,-0.012266551857464947,0.00447256863117218,0.55859375,256
standard_anchor_no_geo,-45.0,3,0.5843447596416809,-0.15407980685995426,-0.05479608476161957,0.4296875,256
standard_anchor_no_geo,-30.0,0,0.03010681389423553,0.01637998246587813,0.0034321174025535583,0.65234375,256
standard_anchor_no_geo,-30.0,1,0.31798823692861333,0.2964025218388997,0.09272212535142899,0.74609375,256
standard_anchor_no_geo,-30.0,2,0.0511899744051334,0.006177906121592969,0.0007924363017082214,0.5390625,256
standard_anchor_no_geo,-30.0,3,0.6007149798824685,-0.08122031673701713,-0.01207336038351059,0.43359375,256
standard_anchor_no_geo,-15.0,0,0.028375532305290108,0.014098025305429474,0.0011892467737197876,0.61328125,256
standard_anchor_no_geo,-15.0,1,0.3277175365965377,0.29138987774786074,0.06462681293487549,0.73046875,256
standard_anchor_no_geo,-15.0,2,0.056263794785991195,0.01958528363320511,7.862038910388947e-05,0.51171875,256
standard_anchor_no_geo,-15.0,3,0.5876431418873835,0.12315744812076446,0.005587421357631683,0.50390625,256
standard_anchor_no_geo,0.0,0,0.026932087283057626,0.010781261553347576,0.0005800463259220123,0.59765625,256
standard_anchor_no_geo,0.0,1,0.3505529941230634,0.303747077465232,0.04794362187385559,0.67578125,256
standard_anchor_no_geo,0.0,2,0.060356336702170665,0.030536191661667544,0.00037854164838790894,0.55078125,256
standard_anchor_no_geo,0.0,3,0.5621585844201036,0.23535903474112274,0.018075058236718178,0.53125,256
standard_anchor_no_geo,15.0,0,0.026710650974564487,0.006395702279405668,0.00027976371347904205,0.5390625,256
standard_anchor_no_geo,15.0,1,0.36284719589184533,0.2612785068413359,0.045960262417793274,0.62109375,256
standard_anchor_no_geo,15.0,2,0.06368617660064047,0.03523070324445143,0.0003716088831424713,0.55859375,256
standard_anchor_no_geo,15.0,3,0.5467559805838391,0.29870737364399247,0.04102971404790878,0.5703125,256
standard_anchor_no_geo,30.0,0,0.026481353726921952,0.0025266451702918857,-0.0002320948988199234,0.46484375,256
standard_anchor_no_geo,30.0,1,0.38429986986920994,0.21221998164401157,0.012530963867902756,0.54296875,256
standard_anchor_no_geo,30.0,2,0.06167292704594729,0.03689311194466427,0.001492166891694069,0.6015625,256
standard_anchor_no_geo,30.0,3,0.5275458455726039,0.3251517636090284,0.03882640600204468,0.55859375,256
standard_anchor_no_geo,45.0,0,0.02702608089748537,-9.423917799722403e-05,-0.0004153810441493988,0.46484375,256
standard_anchor_no_geo,45.0,1,0.38724450986592274,0.11699902061081957,-0.00037180446088314056,0.4765625,256
standard_anchor_no_geo,45.0,2,0.061967818768607685,0.037275438946380746,0.002835940569639206,0.5859375,256
standard_anchor_no_geo,45.0,3,0.523761591524817,0.38616571929014754,0.11456543207168579,0.62109375,256
standard_anchor_no_geo,60.0,0,0.03081031317015004,-0.003679827190353535,-0.0020833536982536316,0.453125,256
standard_anchor_no_geo,60.0,1,0.3797870339039946,0.056953773557324894,-0.003295574337244034,0.45703125,256
standard_anchor_no_geo,60.0,2,0.06446434780445998,0.036357816177769564,0.0009855255484580994,0.51953125,256
standard_anchor_no_geo,60.0,3,0.52493829728337,0.461165584390983,0.15345734357833862,0.671875,256
uniform_static_anchor,-60.0,0,0.25,0.028484176058555022,0.007946565747261047,0.53125,256
uniform_static_anchor,-60.0,1,0.25,-0.01833395753055811,-0.0476762130856514,0.40234375,256
uniform_static_anchor,-60.0,2,0.25,-0.07318828644929454,-0.053743720054626465,0.3828125,256
uniform_static_anchor,-60.0,3,0.25,0.03114050839212723,0.09198129177093506,0.58203125,256
uniform_static_anchor,-45.0,0,0.25,0.026679872767999768,0.006667021661996841,0.53515625,256
uniform_static_anchor,-45.0,1,0.25,-0.026083706950885244,-0.039932817220687866,0.44140625,256
uniform_static_anchor,-45.0,2,0.25,-0.08611375927284826,-0.043189406394958496,0.37890625,256
uniform_static_anchor,-45.0,3,0.25,0.05830065305781318,0.08157217502593994,0.6171875,256
uniform_static_anchor,-30.0,0,0.25,0.039295479480642825,0.010107425972819328,0.609375,256
uniform_static_anchor,-30.0,1,0.25,-0.030575300595955923,-0.012473508715629578,0.48046875,256
uniform_static_anchor,-30.0,2,0.25,-0.06927874901884934,-0.01679268851876259,0.3828125,256
uniform_static_anchor,-30.0,3,0.25,0.055964814171602484,0.032965779304504395,0.62109375,256
uniform_static_anchor,-15.0,0,0.25,0.04613832200266188,0.008951202034950256,0.68359375,256
uniform_static_anchor,-15.0,1,0.25,-0.021504152224224526,0.00040203705430030823,0.5,256
