method,curriculum,stage,current_angle,seen_angles,router_mode,geometry_weight,anchor_weight,source_examples,forward_images,optimizer_steps,wall_seconds,loss,current_ce,anchor_ce,geo,div
sensory_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",0,-60.0,[-60.0],sensory_bottleneck,0.0,0.1,1024,1024,16,1.0446025559999725,1.9277319088578224,1.8853031322360039,0.0,0.0,0.8485757410526276
sensory_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1,-30.0,"[-60.0, -30.0]",sensory_bottleneck,0.0,0.1,1024,2048,16,1.6590941320000638,1.4357813708484173,1.277435839176178,1.2406156361103058,0.0,0.6856792643666267
sensory_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",2,0.0,"[-60.0, -30.0, 0.0]",sensory_bottleneck,0.0,0.1,1024,3072,16,4.190757981999923,0.6274136137217283,0.4824185501784086,1.1992464177310467,0.0,0.5014084186404943
sensory_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",3,60.0,"[-60.0, -30.0, 0.0, 60.0]",sensory_bottleneck,0.0,0.1,1024,4096,16,2.8379433229999904,2.2137002423405647,2.081026017665863,1.1611937694251537,0.0,0.33109575137495995
sensory_bottleneck_no_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",sensory_bottleneck,0.0,0.1,1024,5120,16,5.281649413999958,0.9427387304604053,0.7896865643560886,1.4102960005402565,0.0,0.24045140761882067
sensory_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",0,-60.0,[-60.0],sensory_bottleneck,0.1,0.1,1024,1024,16,1.0671205840000084,1.9277319088578224,1.8853031322360039,0.0,0.0,0.8485757410526276
sensory_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1,-30.0,"[-60.0, -30.0]",sensory_bottleneck,0.1,0.1,1024,2048,16,1.6519223040000952,1.480926539748907,1.277426440268755,1.240142673254013,0.4519173204898834,0.6858824156224728
sensory_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",2,0.0,"[-60.0, -30.0, 0.0]",sensory_bottleneck,0.1,0.1,1024,3072,16,3.0315721670000357,0.6494983863085508,0.4825445804744959,1.195670422166586,0.22307682130485773,0.5015817265957594
sensory_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",3,60.0,"[-60.0, -30.0, 0.0, 60.0]",sensory_bottleneck,0.1,0.1,1024,4096,16,4.031504191999943,2.2193257063627243,2.067535810172558,1.1837772652506828,0.17145319376140833,0.3253370560705662
sensory_bottleneck_geo,"[-60.0, -30.0, 0.0, 60.0, 30.0]",4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",sensory_bottleneck,0.1,0.1,1024,5120,16,5.1645440089999965,0.9472757950425148,0.7807556241750717,1.3938980251550674,0.1484926352277398,0.24562167469412088
