method,stage,angle,angle_type,accuracy,nll,curriculum_name
context_bottleneck_geo_cb_b,1,-60.0,train,0.234375,2.5322561264038086,cb_b
context_bottleneck_geo_cb_b,1,-30.0,train,0.703125,0.874657928943634,cb_b
context_bottleneck_geo_cb_b,1,0.0,train,0.9140625,0.32326722145080566,cb_b
context_bottleneck_geo_cb_b,1,30.0,train,0.58984375,1.3626121282577515,cb_b
context_bottleneck_geo_cb_b,1,60.0,train,0.17578125,3.0347650051116943,cb_b
context_bottleneck_geo_cb_b,1,-45.0,interpolation,0.41796875,1.679599642753601,cb_b
context_bottleneck_geo_cb_b,1,-15.0,interpolation,0.90234375,0.39576539397239685,cb_b
context_bottleneck_geo_cb_b,1,15.0,interpolation,0.80859375,0.6375860571861267,cb_b
context_bottleneck_geo_cb_b,1,45.0,interpolation,0.28515625,2.325822353363037,cb_b
context_bottleneck_geo_cb_b,1,-75.0,extrapolation,0.1875,2.996530532836914,cb_b
context_bottleneck_geo_cb_b,1,75.0,extrapolation,0.14453125,3.3729374408721924,cb_b
context_bottleneck_geo_cb_b,2,-60.0,train,0.21484375,2.3507211208343506,cb_b
context_bottleneck_geo_cb_b,2,-30.0,train,0.49609375,1.4223741292953491,cb_b
context_bottleneck_geo_cb_b,2,0.0,train,0.8359375,0.5899855494499207,cb_b
context_bottleneck_geo_cb_b,2,30.0,train,0.6953125,0.9763327836990356,cb_b
context_bottleneck_geo_cb_b,2,60.0,train,0.47265625,1.4799245595932007,cb_b
context_bottleneck_geo_cb_b,2,-45.0,interpolation,0.33203125,2.0061395168304443,cb_b
context_bottleneck_geo_cb_b,2,-15.0,interpolation,0.75,0.818591296672821,cb_b
context_bottleneck_geo_cb_b,2,15.0,interpolation,0.81640625,0.6832827925682068,cb_b
context_bottleneck_geo_cb_b,2,45.0,interpolation,0.58203125,1.2600462436676025,cb_b
context_bottleneck_geo_cb_b,2,-75.0,extrapolation,0.2265625,2.488877773284912,cb_b
context_bottleneck_geo_cb_b,2,75.0,extrapolation,0.3515625,1.8364542722702026,cb_b
context_bottleneck_geo_cb_b,3,-60.0,train,0.53515625,1.4021435976028442,cb_b
context_bottleneck_geo_cb_b,3,-30.0,train,0.65625,1.0803911685943604,cb_b
context_bottleneck_geo_cb_b,3,0.0,train,0.6328125,1.0133920907974243,cb_b
context_bottleneck_geo_cb_b,3,30.0,train,0.5234375,1.2338879108428955,cb_b
context_bottleneck_geo_cb_b,3,60.0,train,0.5,1.426984429359436,cb_b
context_bottleneck_geo_cb_b,3,-45.0,interpolation,0.6171875,1.1785681247711182,cb_b
context_bottleneck_geo_cb_b,3,-15.0,interpolation,0.62890625,1.0077531337738037,cb_b
context_bottleneck_geo_cb_b,3,15.0,interpolation,0.5625,1.116625189781189,cb_b
context_bottleneck_geo_cb_b,3,45.0,interpolation,0.49609375,1.2905348539352417,cb_b
context_bottleneck_geo_cb_b,3,-75.0,extrapolation,0.4453125,1.6248900890350342,cb_b
context_bottleneck_geo_cb_b,3,75.0,extrapolation,0.34765625,1.754245638847351,cb_b
context_bottleneck_geo_cb_b,4,-60.0,train,0.453125,1.4823811054229736,cb_b
context_bottleneck_geo_cb_b,4,-30.0,train,0.67578125,0.9908756017684937,cb_b
context_bottleneck_geo_cb_b,4,0.0,train,0.859375,0.577359676361084,cb_b
context_bottleneck_geo_cb_b,4,30.0,train,0.73046875,0.8582881689071655,cb_b
context_bottleneck_geo_cb_b,4,60.0,train,0.48046875,1.392524242401123,cb_b
context_bottleneck_geo_cb_b,4,-45.0,interpolation,0.5703125,1.2196063995361328,cb_b
context_bottleneck_geo_cb_b,4,-15.0,interpolation,0.8203125,0.6776019930839539,cb_b
context_bottleneck_geo_cb_b,4,15.0,interpolation,0.8359375,0.6447346806526184,cb_b
context_bottleneck_geo_cb_b,4,45.0,interpolation,0.64453125,1.0810672044754028,cb_b
context_bottleneck_geo_cb_b,4,-75.0,extrapolation,0.3984375,1.6608777046203613,cb_b
context_bottleneck_geo_cb_b,4,75.0,extrapolation,0.28515625,1.8529770374298096,cb_b
context_bottleneck_geo_cb_c,0,-60.0,train,0.18359375,2.6033997535705566,cb_c
context_bottleneck_geo_cb_c,0,-30.0,train,0.640625,1.2988624572753906,cb_c
context_bottleneck_geo_cb_c,0,0.0,train,0.93359375,0.5636802315711975,cb_c
context_bottleneck_geo_cb_c,0,30.0,train,0.55859375,1.4313050508499146,cb_c
context_bottleneck_geo_cb_c,0,60.0,train,0.171875,2.585364818572998,cb_c
context_bottleneck_geo_cb_c,0,-45.0,interpolation,0.33984375,2.097663640975952,cb_c
context_bottleneck_geo_cb_c,0,-15.0,interpolation,0.859375,0.7155407667160034,cb_c
context_bottleneck_geo_cb_c,0,15.0,interpolation,0.76171875,0.8330506682395935,cb_c
context_bottleneck_geo_cb_c,0,45.0,interpolation,0.28125,2.1317138671875,cb_c
context_bottleneck_geo_cb_c,0,-75.0,extrapolation,0.203125,2.7665064334869385,cb_c
context_bottleneck_geo_cb_c,0,75.0,extrapolation,0.15625,2.739337921142578,cb_c
context_bottleneck_geo_cb_c,1,-60.0,train,0.16015625,2.583439588546753,cb_c
context_bottleneck_geo_cb_c,1,-30.0,train,0.4296875,1.6842201948165894,cb_c
context_bottleneck_geo_cb_c,1,0.0,train,0.84375,0.6250689029693604,cb_c
context_bottleneck_geo_cb_c,1,30.0,train,0.68359375,0.9664245843887329,cb_c
context_bottleneck_geo_cb_c,1,60.0,train,0.49609375,1.4772469997406006,cb_c
context_bottleneck_geo_cb_c,1,-45.0,interpolation,0.24609375,2.3578476905822754,cb_c
context_bottleneck_geo_cb_c,1,-15.0,interpolation,0.6953125,0.9274642467498779,cb_c
context_bottleneck_geo_cb_c,1,15.0,interpolation,0.8359375,0.6823306679725647,cb_c
context_bottleneck_geo_cb_c,1,45.0,interpolation,0.6015625,1.2641000747680664,cb_c
context_bottleneck_geo_cb_c,1,-75.0,extrapolation,0.1875,2.527806282043457,cb_c
context_bottleneck_geo_cb_c,1,75.0,extrapolation,0.359375,1.8123023509979248,cb_c
context_bottleneck_geo_cb_c,2,-60.0,train,0.4140625,1.6739534139633179,cb_c
context_bottleneck_geo_cb_c,2,-30.0,train,0.55859375,1.293537974357605,cb_c
context_bottleneck_geo_cb_c,2,0.0,train,0.76953125,0.8472967147827148,cb_c
context_bottleneck_geo_cb_c,2,30.0,train,0.578125,1.1780847311019897,cb_c
context_bottleneck_geo_cb_c,2,60.0,train,0.45703125,1.451655387878418,cb_c
context_bottleneck_geo_cb_c,2,-45.0,interpolation,0.421875,1.530490517616272,cb_c
context_bottleneck_geo_cb_c,2,-15.0,interpolation,0.703125,0.9740371704101562,cb_c
context_bottleneck_geo_cb_c,2,15.0,interpolation,0.7265625,0.9501389861106873,cb_c
context_bottleneck_geo_cb_c,2,45.0,interpolation,0.48828125,1.322087049484253,cb_c
context_bottleneck_geo_cb_c,2,-75.0,extrapolation,0.37890625,1.7610079050064087,cb_c
context_bottleneck_geo_cb_c,2,75.0,extrapolation,0.33203125,1.7540680170059204,cb_c
context_bottleneck_geo_cb_c,3,-60.0,train,0.4765625,1.363797903060913,cb_c
context_bottleneck_geo_cb_c,3,-30.0,train,0.76953125,0.7960647940635681,cb_c
context_bottleneck_geo_cb_c,3,0.0,train,0.75390625,0.6766040325164795,cb_c
context_bottleneck_geo_cb_c,3,30.0,train,0.47265625,1.3691198825836182,cb_c
context_bottleneck_geo_cb_c,3,60.0,train,0.28515625,1.9407823085784912,cb_c
context_bottleneck_geo_cb_c,3,-45.0,interpolation,0.65625,1.0166373252868652,cb_c
context_bottleneck_geo_cb_c,3,-15.0,interpolation,0.84765625,0.6452817320823669,cb_c
context_bottleneck_geo_cb_c,3,15.0,interpolation,0.6328125,0.965455949306488,cb_c
context_bottleneck_geo_cb_c,3,45.0,interpolation,0.375,1.6411526203155518,cb_c
context_bottleneck_geo_cb_c,3,-75.0,extrapolation,0.3984375,1.651962399482727,cb_c
