partition,method,space,source_rho_mean,source_rho_ci_low,source_rho_ci_high,source_stress_mean,source_stress_ci_low,source_stress_ci_high,centroid_rho,centroid_stress,source_blocks,status
C1_trained,standard_anchor_no_geo,sensory,0.5176259009896578,0.483674935588487,0.5554285821240766,0.3848804095337973,0.3765480012439654,0.3929746322218864,0.699205898780101,0.3484076209685908,256,development_not_qualified
C1_trained,standard_anchor_no_geo,context,0.30207879845734054,0.2613244802058235,0.34605850187403986,0.5028949397530229,0.48453615578924647,0.5195358367882548,0.09534625892455922,0.5987448761268996,256,development_not_qualified
C1_trained,standard_anchor_no_geo,route,0.39114312938504725,0.35365951060145673,0.42948337471366316,0.48332011908532635,0.46631199735598594,0.5000559435185203,-0.11441551070947108,0.5928253709260558,256,development_not_qualified
C1_trained,standard_anchor_no_geo,synthesis,0.5780118649752121,0.5434854700035786,0.6124513558045966,0.3627362329570907,0.35301049376746557,0.3714076125294819,0.5593647190240808,0.3840750189761099,256,development_not_qualified
C1_trained,uniform_static_anchor,sensory,0.5176259009896578,0.483674935588487,0.5554285821240766,0.3848804095337973,0.3765480012439654,0.3929746322218864,0.699205898780101,0.3484076209685908,256,development_not_qualified
C1_trained,uniform_static_anchor,context,0.18354154842977652,0.14628822562314567,0.22305313744713356,0.5205579332567101,0.505837851169892,0.5347275486000699,0.48308771188443345,0.3970406601844357,256,development_not_qualified
C1_trained,uniform_static_anchor,route,,,,1.0,1.0,1.0,,1.0,256,development_not_qualified
C1_trained,uniform_static_anchor,synthesis,0.5575024874044605,0.5227948352218507,0.5928985445424567,0.367411905396553,0.35738036197073386,0.37676105807370996,0.5593647190240808,0.3796813853942222,256,development_not_qualified
C1_trained,context_bottleneck_no_geo,sensory,0.5176259009896578,0.483674935588487,0.5554285821240766,0.3848804095337973,0.3765480012439654,0.3929746322218864,0.699205898780101,0.3484076209685908,256,development_not_qualified
C1_trained,context_bottleneck_no_geo,context,0.35089409664632054,0.3113986469696669,0.3903460942518498,0.47337208860409874,0.459974842210752,0.4874104299829589,0.495800546407708,0.4310177217118348,256,development_not_qualified
C1_trained,context_bottleneck_no_geo,route,0.33055852736006697,0.2954511161231119,0.36957724574209777,0.49315343930525174,0.4794354337552898,0.507565379753918,0.4894441291460707,0.42730083493030496,256,development_not_qualified
C1_trained,context_bottleneck_no_geo,synthesis,0.5693462805052456,0.534774571230868,0.6058038096664253,0.3662110737206476,0.35616340613437636,0.375622526963024,0.5593647190240808,0.3694701796343339,256,development_not_qualified
C1_trained,context_bottleneck_geo,sensory,0.5176259009896578,0.483674935588487,0.5554285821240766,0.3848804095337973,0.3765480012439654,0.3929746322218864,0.699205898780101,0.3484076209685908,256,development_not_qualified
C1_trained,context_bottleneck_geo,context,0.3533770721391476,0.31105165114454436,0.39366086653477383,0.4654215609026619,0.45182648322370467,0.480145023300361,0.247900273203854,0.5079961858624007,256,development_not_qualified
C1_trained,context_bottleneck_geo,route,0.3522100736575189,0.310294343619232,0.39091345415196077,0.46613579834990543,0.45217680227442175,0.4796216790453273,0.06356417261637282,0.5149869419008808,256,development_not_qualified
C1_trained,context_bottleneck_geo,synthesis,0.5698925351136677,0.5351538457373973,0.6053512873828576,0.3659705020415711,0.3560132525293499,0.3752751343127821,0.5593647190240808,0.3690900179544127,256,development_not_qualified
C1_trained,sensory_bottleneck_no_geo,sensory,0.5176259009896578,0.483674935588487,0.5554285821240766,0.3848804095337973,0.3765480012439654,0.3929746322218864,0.699205898780101,0.3484076209685908,256,development_not_qualified
C1_trained,sensory_bottleneck_no_geo,context,0.18354154842977652,0.14628822562314567,0.22305313744713356,0.5205579332567101,0.505837851169892,0.5347275486000699,0.48308771188443345,0.3970406601844357,256,development_not_qualified
C1_trained,sensory_bottleneck_no_geo,route,0.21569608106188698,0.1793273182745758,0.2525750953129741,0.5390790818727408,0.5256620430144064,0.551979425547562,0.22883102141894215,0.590124598844458,256,development_not_qualified
C1_trained,sensory_bottleneck_no_geo,synthesis,0.5682537712884017,0.5314163468768194,0.6013741813872219,0.3637419845880493,0.3540755825934294,0.37284967625333443,0.5593647190240808,0.3827318464252663,256,development_not_qualified
C1_trained,sensory_bottleneck_geo,sensory,0.5176259009896578,0.483674935588487,0.5554285821240766,0.3848804095337973,0.3765480012439654,0.3929746322218864,0.699205898780101,0.3484076209685908,256,development_not_qualified
C1_trained,sensory_bottleneck_geo,context,0.18354154842977652,0.14628822562314567,0.22305313744713356,0.5205579332567101,0.505837851169892,0.5347275486000699,0.48308771188443345,0.3970406601844357,256,development_not_qualified
C1_trained,sensory_bottleneck_geo,route,0.2991488873758046,0.2618961853130469,0.33846432132922827,0.4913336565159736,0.47538972104612937,0.5039462478081936,0.1461975970176575,0.5908603074637168,256,development_not_qualified
C1_trained,sensory_bottleneck_geo,synthesis,0.5675833679053384,0.5318409356860927,0.603454914850211,0.3644591851242691,0.3546950357308389,0.37377320039949385,0.5593647190240808,0.3830760186828381,256,development_not_qualified
C2_interpolation,standard_anchor_no_geo,sensory,0.642890441677997,0.6041880272207082,0.6816742270424924,0.31576882598737926,0.30712006073803955,0.32520683174273385,0.9258200997725515,0.2224746653395398,256,development_not_qualified
C2_interpolation,standard_anchor_no_geo,context,0.3745472721345465,0.3371076136076116,0.4177281002255007,0.4447403458172426,0.4258483669358402,0.46237957888525305,0.12344267996967354,0.5252712501915493,256,development_not_qualified
C2_interpolation,standard_anchor_no_geo,route,0.4520605955920662,0.41141733431103544,0.49504553075826374,0.418182769599637,0.402681021621757,0.43490156725330187,0.8332380897952965,0.24047717899929985,256,development_not_qualified
C2_interpolation,standard_anchor_no_geo,synthesis,0.6724250672566787,0.6381257230004566,0.7045545206540588,0.3005965355214969,0.29112672317738514,0.30976452408094624,0.8332380897952965,0.250665470970705,256,development_not_qualified
C2_interpolation,uniform_static_anchor,sensory,0.642890441677997,0.6041880272207082,0.6816742270424924,0.31576882598737926,0.30712006073803955,0.32520683174273385,0.9258200997725515,0.2224746653395398,256,development_not_qualified
C2_interpolation,uniform_static_anchor,context,0.30728065551044714,0.25434134602931224,0.3556330568149745,0.43226159997234714,0.41464220144876435,0.4491723495680506,0.2777460299317655,0.49303957063844844,256,development_not_qualified
C2_interpolation,uniform_static_anchor,route,,,,1.0,1.0,1.0,,1.0,256,development_not_qualified
C2_interpolation,uniform_static_anchor,synthesis,0.6631427563605216,0.6256910428843708,0.6994462359238683,0.30034144644920036,0.2909965197512268,0.30992213442482286,0.8332380897952965,0.250798604780582,256,development_not_qualified
C2_interpolation,context_bottleneck_no_geo,sensory,0.642890441677997,0.6041880272207082,0.6816742270424924,0.31576882598737926,0.30712006073803955,0.32520683174273385,0.9258200997725515,0.2224746653395398,256,development_not_qualified
C2_interpolation,context_bottleneck_no_geo,context,0.3995010170112286,0.35910488218912157,0.44244677359247486,0.41669323383696133,0.401841986946037,0.43223420258913187,0.8332380897952965,0.2402316592027199,256,development_not_qualified
C2_interpolation,context_bottleneck_no_geo,route,0.39009815662291364,0.34694445216769504,0.4360968290930583,0.4280953043648189,0.4132309744734308,0.444435917411092,0.6789347398332044,0.268660962649198,256,development_not_qualified
C2_interpolation,context_bottleneck_no_geo,synthesis,0.6686880329997843,0.6316672839580979,0.7064893400031929,0.30145333754663683,0.29195893865480843,0.3109557121136169,0.8332380897952965,0.2342815671820952,256,development_not_qualified
C2_interpolation,context_bottleneck_geo,sensory,0.642890441677997,0.6041880272207082,0.6816742270424924,0.31576882598737926,0.30712006073803955,0.32520683174273385,0.9258200997725515,0.2224746653395398,256,development_not_qualified
C2_interpolation,context_bottleneck_geo,context,0.4158957479447009,0.3726757412687954,0.46676461989802404,0.40072369619314924,0.3840815962587724,0.4180431772768092,0.5246313898711126,0.3668062379556911,256,development_not_qualified
C2_interpolation,context_bottleneck_geo,route,0.4357864141507518,0.39256038000023846,0.4869867972075092,0.3955644108469477,0.37829548578205363,0.4134263392425124,0.37032803990902063,0.4210461957982427,256,development_not_qualified
C2_interpolation,context_bottleneck_geo,synthesis,0.6677236370625212,0.6302026076283798,0.7057087820414705,0.30109349974723637,0.29145710390873764,0.31060453373552155,0.8332380897952965,0.23581675686999445,256,development_not_qualified
C2_interpolation,sensory_bottleneck_no_geo,sensory,0.642890441677997,0.6041880272207082,0.6816742270424924,0.31576882598737926,0.30712006073803955,0.32520683174273385,0.9258200997725515,0.2224746653395398,256,development_not_qualified
C2_interpolation,sensory_bottleneck_no_geo,context,0.30728065551044714,0.25434134602931224,0.3556330568149745,0.43226159997234714,0.41464220144876435,0.4491723495680506,0.2777460299317655,0.49303957063844844,256,development_not_qualified
C2_interpolation,sensory_bottleneck_no_geo,route,0.22301656049208599,0.17822338294352014,0.2685270075189913,0.49924607772483875,0.4830923571657933,0.5151354385076635,-0.06172133998483677,0.5611518592309105,256,development_not_qualified
C2_interpolation,sensory_bottleneck_no_geo,synthesis,0.6630222068683637,0.6252781608737301,0.6986084169533711,0.30045130832808176,0.29075053808284845,0.30965892763691877,0.8332380897952965,0.2571824058517779,256,development_not_qualified
C2_interpolation,sensory_bottleneck_geo,sensory,0.642890441677997,0.6041880272207082,0.6816742270424924,0.31576882598737926,0.30712006073803955,0.32520683174273385,0.9258200997725515,0.2224746653395398,256,development_not_qualified
C2_interpolation,sensory_bottleneck_geo,context,0.30728065551044714,0.25434134602931224,0.3556330568149745,0.43226159997234714,0.41464220144876435,0.4491723495680506,0.2777460299317655,0.49303957063844844,256,development_not_qualified
C2_interpolation,sensory_bottleneck_geo,route,0.36345671885602115,0.3173374968937186,0.40724029440776477,0.42993831181814923,0.41185003177130625,0.44570313533023237,0.030860669992418384,0.5394138092869684,256,development_not_qualified
C2_interpolation,sensory_bottleneck_geo,synthesis,0.6655537462036794,0.629446159565089,0.7005372088278973,0.30022309856230656,0.290648803582776,0.3095532113980462,0.8332380897952965,0.2560040751113749,256,development_not_qualified
extrapolation,standard_anchor_no_geo,sensory,,,,,,,,1.8947806286936006e-16,0,development_not_qualified
extrapolation,standard_anchor_no_geo,context,,,,,,,,1.8947806286936006e-16,0,development_not_qualified
extrapolation,standard_anchor_no_geo,route,,,,,,,,0.0,0,development_not_qualified
extrapolation,standard_anchor_no_geo,synthesis,,,,,,,,0.0,0,development_not_qualified
extrapolation,uniform_static_anchor,sensory,,,,,,,,1.8947806286936006e-16,0,development_not_qualified
extrapolation,uniform_static_anchor,context,,,,,,,,0.0,0,development_not_qualified
extrapolation,uniform_static_anchor,route,,,,,,,,1.0,0,development_not_qualified
extrapolation,uniform_static_anchor,synthesis,,,,,,,,1.8947806286936006e-16,0,development_not_qualified
extrapolation,context_bottleneck_no_geo,sensory,,,,,,,,1.8947806286936006e-16,0,development_not_qualified
extrapolation,context_bottleneck_no_geo,context,,,,,,,,0.0,0,development_not_qualified
extrapolation,context_bottleneck_no_geo,route,,,,,,,,0.0,0,development_not_qualified
extrapolation,context_bottleneck_no_geo,synthesis,,,,,,,,0.0,0,development_not_qualified
extrapolation,context_bottleneck_geo,sensory,,,,,,,,1.8947806286936006e-16,0,development_not_qualified
extrapolation,context_bottleneck_geo,context,,,,,,,,0.0,0,development_not_qualified
extrapolation,context_bottleneck_geo,route,,,,,,,,0.0,0,development_not_qualified
extrapolation,context_bottleneck_geo,synthesis,,,,,,,,1.8947806286936006e-16,0,development_not_qualified
extrapolation,sensory_bottleneck_no_geo,sensory,,,,,,,,1.8947806286936006e-16,0,development_not_qualified
extrapolation,sensory_bottleneck_no_geo,context,,,,,,,,0.0,0,development_not_qualified
extrapolation,sensory_bottleneck_no_geo,route,,,,,,,,0.0,0,development_not_qualified
extrapolation,sensory_bottleneck_no_geo,synthesis,,,,,,,,0.0,0,development_not_qualified
extrapolation,sensory_bottleneck_geo,sensory,,,,,,,,1.8947806286936006e-16,0,development_not_qualified
extrapolation,sensory_bottleneck_geo,context,,,,,,,,0.0,0,development_not_qualified
extrapolation,sensory_bottleneck_geo,route,,,,,,,,0.0,0,development_not_qualified
extrapolation,sensory_bottleneck_geo,synthesis,,,,,,,,0.0,0,development_not_qualified
