method,stage,angle,angle_type,accuracy,nll
uniform_static_anchor,3,-60.0,train,0.30859375,2.0970375537872314
uniform_static_anchor,3,-30.0,train,0.48046875,1.4393682479858398
uniform_static_anchor,3,0.0,train,0.76953125,0.6338292360305786
uniform_static_anchor,3,30.0,train,0.6953125,0.9464370012283325
uniform_static_anchor,3,60.0,train,0.48046875,1.37077796459198
uniform_static_anchor,3,-45.0,interpolation,0.3515625,1.8872220516204834
uniform_static_anchor,3,-15.0,interpolation,0.71875,0.854549765586853
uniform_static_anchor,3,15.0,interpolation,0.80078125,0.7076042890548706
uniform_static_anchor,3,45.0,interpolation,0.58984375,1.179162621498108
uniform_static_anchor,3,-75.0,extrapolation,0.28125,2.2017695903778076
uniform_static_anchor,3,75.0,extrapolation,0.39453125,1.725402593612671
uniform_static_anchor,4,-60.0,train,0.26171875,2.2591822147369385
uniform_static_anchor,4,-30.0,train,0.54296875,1.457992434501648
uniform_static_anchor,4,0.0,train,0.8125,0.5942591428756714
uniform_static_anchor,4,30.0,train,0.7578125,0.7866970896720886
uniform_static_anchor,4,60.0,train,0.55859375,1.2427103519439697
uniform_static_anchor,4,-45.0,interpolation,0.3359375,1.940191626548767
uniform_static_anchor,4,-15.0,interpolation,0.7265625,0.8312937021255493
uniform_static_anchor,4,15.0,interpolation,0.8125,0.6117371320724487
uniform_static_anchor,4,45.0,interpolation,0.671875,0.9892340302467346
uniform_static_anchor,4,-75.0,extrapolation,0.21484375,2.4208288192749023
uniform_static_anchor,4,75.0,extrapolation,0.35546875,1.727258563041687
context_bottleneck_no_geo,0,-60.0,train,0.51953125,1.4638248682022095
context_bottleneck_no_geo,0,-30.0,train,0.328125,1.9064521789550781
context_bottleneck_no_geo,0,0.0,train,0.14453125,2.320896625518799
context_bottleneck_no_geo,0,30.0,train,0.09375,2.375967264175415
context_bottleneck_no_geo,0,60.0,train,0.125,2.370950222015381
context_bottleneck_no_geo,0,-45.0,interpolation,0.453125,1.5882014036178589
context_bottleneck_no_geo,0,-15.0,interpolation,0.19140625,2.1799778938293457
context_bottleneck_no_geo,0,15.0,interpolation,0.12109375,2.4015634059906006
context_bottleneck_no_geo,0,45.0,interpolation,0.08984375,2.32656192779541
context_bottleneck_no_geo,0,-75.0,extrapolation,0.46875,1.5592225790023804
context_bottleneck_no_geo,0,75.0,extrapolation,0.125,2.423079490661621
context_bottleneck_no_geo,1,-60.0,train,0.546875,1.237528681755066
context_bottleneck_no_geo,1,-30.0,train,0.76953125,0.8363004326820374
context_bottleneck_no_geo,1,0.0,train,0.6796875,0.9658917784690857
context_bottleneck_no_geo,1,30.0,train,0.359375,1.79112708568573
context_bottleneck_no_geo,1,60.0,train,0.10546875,2.614703416824341
context_bottleneck_no_geo,1,-45.0,interpolation,0.734375,0.9353009462356567
context_bottleneck_no_geo,1,-15.0,interpolation,0.78125,0.8352031707763672
context_bottleneck_no_geo,1,15.0,interpolation,0.4921875,1.3348217010498047
context_bottleneck_no_geo,1,45.0,interpolation,0.1953125,2.2315423488616943
context_bottleneck_no_geo,1,-75.0,extrapolation,0.41015625,1.599951982498169
context_bottleneck_no_geo,1,75.0,extrapolation,0.09375,2.8372626304626465
context_bottleneck_no_geo,2,-60.0,train,0.3359375,2.011040687561035
context_bottleneck_no_geo,2,-30.0,train,0.7109375,0.8699488639831543
context_bottleneck_no_geo,2,0.0,train,0.9140625,0.3241925537586212
context_bottleneck_no_geo,2,30.0,train,0.59375,1.2873364686965942
context_bottleneck_no_geo,2,60.0,train,0.1796875,2.902878999710083
context_bottleneck_no_geo,2,-45.0,interpolation,0.53515625,1.4174814224243164
context_bottleneck_no_geo,2,-15.0,interpolation,0.890625,0.4078625738620758
context_bottleneck_no_geo,2,15.0,interpolation,0.8203125,0.6066123247146606
context_bottleneck_no_geo,2,45.0,interpolation,0.33984375,2.172231912612915
context_bottleneck_no_geo,2,-75.0,extrapolation,0.26171875,2.483527660369873
context_bottleneck_no_geo,2,75.0,extrapolation,0.1328125,3.3430988788604736
context_bottleneck_no_geo,3,-60.0,train,0.25,2.0562260150909424
context_bottleneck_no_geo,3,-30.0,train,0.46875,1.4439886808395386
context_bottleneck_no_geo,3,0.0,train,0.765625,0.671337366104126
context_bottleneck_no_geo,3,30.0,train,0.6953125,0.9536932110786438
context_bottleneck_no_geo,3,60.0,train,0.51953125,1.3551474809646606
context_bottleneck_no_geo,3,-45.0,interpolation,0.3359375,1.8490115404129028
context_bottleneck_no_geo,3,-15.0,interpolation,0.71484375,0.8755230903625488
context_bottleneck_no_geo,3,15.0,interpolation,0.7734375,0.7498944401741028
context_bottleneck_no_geo,3,45.0,interpolation,0.5859375,1.1678097248077393
context_bottleneck_no_geo,3,-75.0,extrapolation,0.2421875,2.143812417984009
context_bottleneck_no_geo,3,75.0,extrapolation,0.40625,1.6974796056747437
context_bottleneck_no_geo,4,-60.0,train,0.28515625,2.0995960235595703
context_bottleneck_no_geo,4,-30.0,train,0.56640625,1.3463160991668701
context_bottleneck_no_geo,4,0.0,train,0.82421875,0.549749493598938
context_bottleneck_no_geo,4,30.0,train,0.76171875,0.7614503502845764
context_bottleneck_no_geo,4,60.0,train,0.5625,1.2339038848876953
context_bottleneck_no_geo,4,-45.0,interpolation,0.38671875,1.7740449905395508
