model_seed,method,stage,angle,angle_type,accuracy,nll
1,r0_mlp,0,-75.0,heldout,0.2140625,2.4289462566375732
1,r0_mlp,0,-60.0,train,0.2546875,2.194200325012207
1,r0_mlp,0,-45.0,heldout,0.38125,1.7222875118255616
1,r0_mlp,0,-30.0,train,0.603125,1.157641887664795
1,r0_mlp,0,-15.0,heldout,0.815625,0.6131815910339355
1,r0_mlp,0,0.0,train,0.9,0.4102518081665039
1,r0_mlp,0,15.0,heldout,0.875,0.46668934226036074
1,r0_mlp,0,30.0,train,0.7921875,0.659436559677124
1,r0_mlp,0,45.0,heldout,0.653125,0.9919437766075134
1,r0_mlp,0,60.0,train,0.5296875,1.3043582916259766
1,r0_mlp,0,75.0,heldout,0.378125,1.7811951160430908
1,r0_mlp,1,-75.0,heldout,0.2171875,2.4011385440826416
1,r0_mlp,1,-60.0,train,0.25625,2.1704275131225588
1,r0_mlp,1,-45.0,heldout,0.3921875,1.701812505722046
1,r0_mlp,1,-30.0,train,0.609375,1.142986011505127
1,r0_mlp,1,-15.0,heldout,0.8265625,0.6040471613407135
1,r0_mlp,1,0.0,train,0.9,0.40460156202316283
1,r0_mlp,1,15.0,heldout,0.8796875,0.4632839739322662
1,r0_mlp,1,30.0,train,0.79375,0.6581546306610108
1,r0_mlp,1,45.0,heldout,0.6515625,0.9928253769874573
1,r0_mlp,1,60.0,train,0.525,1.301857089996338
1,r0_mlp,1,75.0,heldout,0.3734375,1.7700868606567384
1,r0_mlp,2,-75.0,heldout,0.21875,2.384882164001465
1,r0_mlp,2,-60.0,train,0.2546875,2.1557453632354737
1,r0_mlp,2,-45.0,heldout,0.390625,1.6843535661697389
1,r0_mlp,2,-30.0,train,0.6140625,1.1268282890319825
1,r0_mlp,2,-15.0,heldout,0.8328125,0.5934249877929687
1,r0_mlp,2,0.0,train,0.9015625,0.3985908329486847
1,r0_mlp,2,15.0,heldout,0.88125,0.45997561812400817
1,r0_mlp,2,30.0,train,0.7953125,0.6585482954978943
1,r0_mlp,2,45.0,heldout,0.65,0.9967896461486816
1,r0_mlp,2,60.0,train,0.5203125,1.3058130741119385
1,r0_mlp,2,75.0,heldout,0.36875,1.7677287340164185
1,r0_mlp,3,-75.0,heldout,0.21875,2.3805872917175295
1,r0_mlp,3,-60.0,train,0.2515625,2.1517898082733153
1,r0_mlp,3,-45.0,heldout,0.3921875,1.6814841747283935
1,r0_mlp,3,-30.0,train,0.61875,1.1249426126480102
1,r0_mlp,3,-15.0,heldout,0.8328125,0.5942650020122529
1,r0_mlp,3,0.0,train,0.90625,0.40057157874107363
1,r0_mlp,3,15.0,heldout,0.88125,0.46350319385528566
1,r0_mlp,3,30.0,train,0.8,0.6599841952323914
1,r0_mlp,3,45.0,heldout,0.6484375,0.9945199131965637
1,r0_mlp,3,60.0,train,0.525,1.2982901096343995
1,r0_mlp,3,75.0,heldout,0.36875,1.7575820922851562
1,r0_mlp,4,-75.0,heldout,0.2234375,2.3886919975280763
1,r0_mlp,4,-60.0,train,0.25625,2.1589996814727783
1,r0_mlp,4,-45.0,heldout,0.3953125,1.689259934425354
1,r0_mlp,4,-30.0,train,0.609375,1.1318660259246827
1,r0_mlp,4,-15.0,heldout,0.8296875,0.5988697946071625
1,r0_mlp,4,0.0,train,0.9,0.403326815366745
1,r0_mlp,4,15.0,heldout,0.8796875,0.4636672854423523
1,r0_mlp,4,30.0,train,0.7984375,0.6578930974006653
1,r0_mlp,4,45.0,heldout,0.6484375,0.9922752499580383
1,r0_mlp,4,60.0,train,0.5265625,1.2968754053115845
1,r0_mlp,4,75.0,heldout,0.36875,1.7595879554748535
1,r1_linear,0,-75.0,heldout,0.2046875,2.4865822315216066
1,r1_linear,0,-60.0,train,0.2515625,2.239200305938721
1,r1_linear,0,-45.0,heldout,0.3859375,1.745591139793396
1,r1_linear,0,-30.0,train,0.6125,1.1612064599990846
1,r1_linear,0,-15.0,heldout,0.81875,0.6152030110359192
1,r1_linear,0,0.0,train,0.8953125,0.4131792962551117
1,r1_linear,0,15.0,heldout,0.8796875,0.4693033277988434
1,r1_linear,0,30.0,train,0.790625,0.6663125395774842
1,r1_linear,0,45.0,heldout,0.6546875,1.0028042793273926
1,r1_linear,0,60.0,train,0.51875,1.325460147857666
1,r1_linear,0,75.0,heldout,0.3671875,1.8184548139572143
1,r1_linear,1,-75.0,heldout,0.203125,2.483496618270874
1,r1_linear,1,-60.0,train,0.2515625,2.2365150928497313
1,r1_linear,1,-45.0,heldout,0.3859375,1.743722629547119
1,r1_linear,1,-30.0,train,0.6125,1.160192108154297
1,r1_linear,1,-15.0,heldout,0.81875,0.614630937576294
1,r1_linear,1,0.0,train,0.9,0.41272321343421936
1,r1_linear,1,15.0,heldout,0.8796875,0.4689114511013031
1,r1_linear,1,30.0,train,0.7921875,0.6659647822380066
1,r1_linear,1,45.0,heldout,0.6546875,1.0026148438453675
1,r1_linear,1,60.0,train,0.515625,1.324926495552063
1,r1_linear,1,75.0,heldout,0.365625,1.817091989517212
1,r1_linear,2,-75.0,heldout,0.203125,2.481958532333374
1,r1_linear,2,-60.0,train,0.2515625,2.235125732421875
1,r1_linear,2,-45.0,heldout,0.3859375,1.7425406217575072
1,r1_linear,2,-30.0,train,0.6125,1.1593559741973878
1,r1_linear,2,-15.0,heldout,0.81875,0.6140339851379395
1,r1_linear,2,0.0,train,0.9,0.41228283047676084
1,r1_linear,2,15.0,heldout,0.8796875,0.4685961425304413
