model_seed,method,stage,current_angle,seen_angles,context_checkpoint_hash,common_bank_hash,router_parameters,forward_images,optimizer_steps,wall_seconds,loss,current_ce,anchor_ce,balance
4,r0_mlp,0,-60.0,[-60.0],1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,4740,1024,16,0.875470522998512,2.0645014494657516,2.064481697976589,0.0,0.0009875579305571591
4,r0_mlp,1,-30.0,"[-60.0, -30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,4740,2048,16,2.3014826540020294,1.3316703513264656,1.129226177930832,2.02310948073864,0.006661200241069309
4,r0_mlp,2,0.0,"[-60.0, -30.0, 0.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,4740,3072,16,1.986198801001592,0.5295884422957897,0.3740016967058182,1.5541317835450172,0.00867838435806334
4,r0_mlp,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,4740,4096,16,4.185611834000156,1.2725437730550766,1.1571956127882004,1.1495112180709839,0.019851360528264195
4,r0_mlp,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,4740,5120,16,3.733903521002503,0.7026753760874271,0.5876149460673332,1.1434998139739037,0.03552195942029357
4,r1_linear,0,-60.0,[-60.0],1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,20,1024,16,0.8437250019997009,2.102437324821949,2.102338567376137,0.0,0.004938772486639209
4,r1_linear,1,-30.0,"[-60.0, -30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,20,2048,16,1.4837357159995008,1.3563321605324745,1.1464675851166248,2.0975645184516907,0.005405844509368762
4,r1_linear,2,0.0,"[-60.0, -30.0, 0.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,20,3072,16,2.197036882997054,0.5446567870676517,0.3825173508375883,1.6197354644536972,0.008294441184261814
4,r1_linear,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,20,4096,16,3.0657424589990114,1.331651121377945,1.2108805179595947,1.2060931771993637,0.008065136906225234
4,r1_linear,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,20,5120,16,3.7248412090011698,0.7096459455788136,0.5889132246375084,1.2056500241160393,0.008385851222556084
4,r2_prototype_energy,0,-60.0,[-60.0],1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,24,1024,16,1.1135915360027866,2.175961673259735,2.1734416857361794,0.0,0.1259993533603847
4,r2_prototype_energy,1,-30.0,"[-60.0, -30.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,24,2048,16,1.4700502970008529,1.4674834981560707,1.2500077486038208,2.169116497039795,0.028204957488924265
4,r2_prototype_energy,2,0.0,"[-60.0, -30.0, 0.0]",1a78273df8f0cd5b20db6be77d2749e52953fc601f3e1fbb795a9dd100ddffe3,482bf87b0a61449a345f74a6577f8d28422eadcd70f97c143428aafb25da2753,24,3072,16,2.0705759249976836,0.616612458601594,0.445836765691638,1.7066184803843498,0.005692563849152066
