model_seed,method,stage,current_angle,seen_angles,context_checkpoint_hash,common_bank_hash,router_parameters,continuity_weight,forward_images,optimizer_steps,wall_seconds,loss,current_ce,anchor_ce,balance,continuity
3,r2_prototype_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,24,0.0,5120,16,3.6104955049995624,0.7533815763890743,0.6313816625624895,1.2181106582283974,0.009442815615329891,0.0009362825148855336
3,r3_hybrid_energy,0,-60.0,[-60.0],e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,42,0.0,1024,16,0.8684914209989074,2.0574384331703186,2.055392324924469,0.0,0.10230422113090754,0.0
3,r3_hybrid_energy,1,-30.0,"[-60.0, -30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,42,0.0,2048,16,1.4098801170002844,1.384267695248127,1.1786475777626038,2.04883536696434,0.03682888555340469,0.007859349891077727
3,r3_hybrid_energy,2,0.0,"[-60.0, -30.0, 0.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,42,0.0,3072,16,2.3498962399989978,0.5678777620196342,0.4066116251051426,1.610186755657196,0.012373213641694747,0.00688188336789608
3,r3_hybrid_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,42,0.0,4096,16,2.9870631779995165,1.3885788545012474,1.26768758893013,1.2074126154184341,0.00749960464600008,0.005399128625867888
3,r3_hybrid_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,42,0.0,5120,16,3.6393538439988333,0.7662201449275017,0.6439598239958286,1.2216048017144203,0.004991509020328522,0.004680744372308254
3,r4_smooth_residual,0,-60.0,[-60.0],e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.0,1024,16,0.8683225589993526,2.1017053425312042,2.1011605337262154,0.0,0.027239858987741172,0.0
3,r4_smooth_residual,1,-30.0,"[-60.0, -30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.0,2048,16,1.462178939000296,1.4125273302197456,1.2022240534424782,2.097803473472595,0.026146006886847317,0.0
3,r4_smooth_residual,2,0.0,"[-60.0, -30.0, 0.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.0,3072,16,1.920790866999596,0.5616300497204065,0.3963077701628208,1.6483144462108612,0.024541827500797808,0.0
3,r4_smooth_residual,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.0,4096,16,3.0602077580006153,1.3479914367198944,1.2245001047849655,1.2299490496516228,0.024821466417051852,0.0
3,r4_smooth_residual,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.0,5120,16,5.112109387999226,0.6927534751594067,0.569476842880249,1.2277965992689133,0.024847970227710903,0.0
3,r5_smooth_residual_continuity,0,-60.0,[-60.0],e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.1,1024,16,0.8680204059983225,2.140578053891659,2.1397535502910614,0.0,0.041225618217140436,0.0
3,r5_smooth_residual_continuity,1,-30.0,"[-60.0, -30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.1,2048,16,2.178099143999134,1.4020109698176384,1.1876049600541592,2.1374493837356567,0.033053262741304934,0.0
3,r5_smooth_residual_continuity,2,0.0,"[-60.0, -30.0, 0.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.1,3072,16,1.9803802799997356,0.5573313981294632,0.39061407931149006,1.6608127802610397,0.031802459503524005,0.0
3,r5_smooth_residual_continuity,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.1,4096,16,4.289527363998786,1.3817681223154068,1.257465086877346,1.2364632934331894,0.03283473907504231,0.0
3,r5_smooth_residual_continuity,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,393c9ea1c7b344037afe5934b1f09e334c31520a574e8b94be8d0fd2c29b679a,141,0.1,5120,16,3.613122721999389,0.7123975828289986,0.587706908583641,1.240773856639862,0.030664288206025958,0.0
