model_seed,method,angle,host,baseline_accuracy,ablated_accuracy,accuracy_drop,is_top_host,is_random_control
4,r0_mlp,-75.0,0,0.24528301886792453,0.2830188679245283,-0.037735849056603765,0,1
4,r0_mlp,-75.0,1,0.24528301886792453,0.25471698113207547,-0.009433962264150941,1,0
4,r0_mlp,-75.0,2,0.24528301886792453,0.27358490566037735,-0.028301886792452824,0,0
4,r0_mlp,-75.0,3,0.24528301886792453,0.27358490566037735,-0.028301886792452824,0,0
4,r0_mlp,-60.0,0,0.3113207547169811,0.3018867924528302,0.009433962264150941,0,1
4,r0_mlp,-60.0,1,0.3113207547169811,0.24528301886792453,0.06603773584905659,1,0
4,r0_mlp,-60.0,2,0.3113207547169811,0.3018867924528302,0.009433962264150941,0,0
4,r0_mlp,-60.0,3,0.3113207547169811,0.2830188679245283,0.028301886792452824,0,0
4,r0_mlp,-45.0,0,0.4339622641509434,0.44339622641509435,-0.009433962264150941,0,0
4,r0_mlp,-45.0,1,0.4339622641509434,0.4056603773584906,0.028301886792452824,1,0
4,r0_mlp,-45.0,2,0.4339622641509434,0.42452830188679247,0.009433962264150941,0,0
4,r0_mlp,-45.0,3,0.4339622641509434,0.42452830188679247,0.009433962264150941,0,1
4,r0_mlp,-30.0,0,0.6226415094339622,0.6037735849056604,0.018867924528301883,0,0
4,r0_mlp,-30.0,1,0.6226415094339622,0.5849056603773585,0.037735849056603765,1,0
4,r0_mlp,-30.0,2,0.6226415094339622,0.5849056603773585,0.037735849056603765,0,0
4,r0_mlp,-30.0,3,0.6226415094339622,0.6037735849056604,0.018867924528301883,0,1
4,r0_mlp,-15.0,0,0.8207547169811321,0.8207547169811321,0.0,0,0
4,r0_mlp,-15.0,1,0.8207547169811321,0.8301886792452831,-0.009433962264150941,1,0
4,r0_mlp,-15.0,2,0.8207547169811321,0.8207547169811321,0.0,0,0
4,r0_mlp,-15.0,3,0.8207547169811321,0.8113207547169812,0.009433962264150941,0,1
4,r0_mlp,0.0,0,0.9150943396226415,0.8962264150943396,0.018867924528301883,0,0
4,r0_mlp,0.0,1,0.9150943396226415,0.9245283018867925,-0.009433962264150941,1,0
4,r0_mlp,0.0,2,0.9150943396226415,0.9150943396226415,0.0,0,1
4,r0_mlp,0.0,3,0.9150943396226415,0.9150943396226415,0.0,0,0
4,r0_mlp,15.0,0,0.8773584905660378,0.8867924528301887,-0.009433962264150941,0,0
4,r0_mlp,15.0,1,0.8773584905660378,0.8867924528301887,-0.009433962264150941,1,0
4,r0_mlp,15.0,2,0.8773584905660378,0.8773584905660378,0.0,0,1
4,r0_mlp,15.0,3,0.8773584905660378,0.8773584905660378,0.0,0,0
