model_seed,metric,angle_a,angle_b,factor_gap,category,distance
4,log_euclidean,15.0,30.0,15.0,near,0.2539596136821668
4,log_euclidean,15.0,45.0,30.0,near,0.4749083696545372
4,log_euclidean,15.0,60.0,45.0,mid,0.5622468014749893
4,log_euclidean,15.0,75.0,60.0,mid,0.7764032215220326
4,log_euclidean,30.0,45.0,15.0,near,0.3356263657750982
4,log_euclidean,30.0,60.0,30.0,near,0.5879604611702177
4,log_euclidean,30.0,75.0,45.0,mid,0.9065554824885985
4,log_euclidean,45.0,60.0,15.0,near,0.44645503545136656
4,log_euclidean,45.0,75.0,30.0,near,0.8032779046069498
4,log_euclidean,60.0,75.0,15.0,near,0.4471070477304543
4,airm,-75.0,-60.0,15.0,near,0.7001322430000796
4,airm,-75.0,-45.0,30.0,near,1.278657366553055
4,airm,-75.0,-30.0,45.0,mid,1.4040235239098602
4,airm,-75.0,-15.0,60.0,mid,1.0750920690336394
4,airm,-75.0,0.0,75.0,mid,0.8994399317156444
4,airm,-75.0,15.0,90.0,far,0.88315696536934
4,airm,-75.0,30.0,105.0,far,1.063712287938219
4,airm,-75.0,45.0,120.0,far,1.0571574277603972
4,airm,-75.0,60.0,135.0,far,0.7933818362795265
4,airm,-75.0,75.0,150.0,far,0.5611475550202402
4,airm,-60.0,-45.0,15.0,near,0.7388876390484765
4,airm,-60.0,-30.0,30.0,near,1.0074626948648862
4,airm,-60.0,-15.0,45.0,mid,0.8847350708656444
4,airm,-60.0,0.0,60.0,mid,0.9012037394080987
4,airm,-60.0,15.0,75.0,mid,0.9331757461530732
4,airm,-60.0,30.0,90.0,far,1.002898413852198
4,airm,-60.0,45.0,105.0,far,0.8613165326204875
4,airm,-60.0,60.0,120.0,far,0.5874656738198318
4,airm,-60.0,75.0,135.0,far,0.44569455302881306
4,airm,-45.0,-30.0,15.0,near,0.39637024593650616
4,airm,-45.0,-15.0,30.0,near,0.6450226707081987
4,airm,-45.0,0.0,45.0,mid,0.8997809952816124
4,airm,-45.0,15.0,60.0,mid,1.036192724022229
