method,metric,mean,seed_ci_low,seed_ci_high,seed_sd,seed_count
d4_full_legacy_route,context_rho,0.45513933973717197,0.41910877428160903,0.4911699051927349,0.029017967427328165,5
d4_full_legacy_route,route_rho,0.28032793314017546,0.21716824093375275,0.34348762534659816,0.05086697552461187,5
d4_full_legacy_route,synthesis_rho,0.5629054420768522,0.5407118149416376,0.5850990692120669,0.017874100535507816,5
d4_full_legacy_route,dense_context_rho,0.34848637316360276,0.30561595368000843,0.3913567926471971,0.03452658653678622,5
d4_full_legacy_route,dense_route_rho,0.2168006168664946,0.163442931210243,0.2701583025227462,0.042972725095871876,5
d4_full_legacy_route,heldout_context_r2,0.12309275977903615,0.04334805495186188,0.20283746460621044,0.06422406137452297,5
d4_full_legacy_route,heldout_context_mae,39.34248604601723,36.5030135972207,42.181958494813756,2.286828363312623,5
d4_full_legacy_route,mean_heldout_accuracy,0.5611979166666667,0.5577682720061781,0.5646275613271554,0.0027621358640099775,5
d4_full_legacy_route,final_trained_accuracy,0.6264062499999999,0.6208591244477232,0.6319533755522767,0.004467493267342424,5
d4_full_legacy_route,mean_forgetting,0.0915625,0.08124160564074961,0.1018833943592504,0.008312147548918994,5
d4_full_stationary_route,context_rho,0.43711790361023317,0.39286202393341285,0.4813737832870535,0.03564239580179692,5
d4_full_stationary_route,route_rho,0.28302941047637126,0.2344443237795923,0.3316144971731502,0.03912901297538128,5
d4_full_stationary_route,synthesis_rho,0.5552926392158445,0.5361773230197491,0.5744079554119399,0.015394918612239966,5
d4_full_stationary_route,dense_context_rho,0.33164725249130883,0.29288325374818147,0.3704112512344362,0.031219394940341913,5
d4_full_stationary_route,dense_route_rho,0.22096032777441904,0.17063456555882134,0.27128608999001674,0.040530902312059185,5
d4_full_stationary_route,heldout_context_r2,0.14872090798570695,0.10221522489153295,0.19522659107988094,0.03745432191112144,5
d4_full_stationary_route,heldout_context_mae,38.68039499008224,37.17920413358746,40.18158584657702,1.2090153686234404,5
d4_full_stationary_route,mean_heldout_accuracy,0.5606770833333334,0.5508860635012461,0.5704681031654207,0.007885402046166534,5
d4_full_stationary_route,final_trained_accuracy,0.62578125,0.6183301545780591,0.6332323454219408,0.006000895115522338,5
d4_full_stationary_route,mean_forgetting,0.0921875,0.08234256775152432,0.10203243224847569,0.007928821535228295,5
d4_no_geo,context_rho,0.3300619322615015,0.2504013127611711,0.40972255176183187,0.0641563415026691,5
d4_no_geo,route_rho,0.25822945125401453,0.17673048790911539,0.3397284145989137,0.0656368900626887,5
d4_no_geo,synthesis_rho,0.5616639543304387,0.5566959546724944,0.566631953988383,0.004001082148738403,5
d4_no_geo,dense_context_rho,0.2832205522435294,0.2235609089527303,0.34288019553432847,0.04804813812521324,5
d4_no_geo,dense_route_rho,0.22670352406087094,0.16525932952678177,0.2881477185949601,0.04948536369176881,5
d4_no_geo,heldout_context_r2,0.016429395902629707,0.00026693156223469433,0.03259186024302472,0.013016777778671352,5
d4_no_geo,heldout_context_mae,43.66926536718623,42.96536432919165,44.373166405180804,0.5669013831542684,5
d4_no_geo,mean_heldout_accuracy,0.5583333333333333,0.5510669458395553,0.5655997208271114,0.005852136732876114,5
d4_no_geo,final_trained_accuracy,0.62625,0.6214681356047466,0.6310318643952534,0.00385117423245822,5
d4_no_geo,mean_forgetting,0.08937500000000001,0.08641674509246919,0.09233325490753083,0.0023824922940588896,5
