model_seed,method,angle,best_accuracy,final_accuracy,forgetting
3,d4_no_geo,-60.0,0.578125,0.34375,0.234375
3,d4_no_geo,-30.0,0.76171875,0.62890625,0.1328125
3,d4_no_geo,0.0,0.921875,0.890625,0.03125
3,d4_no_geo,30.0,0.76953125,0.76953125,0.0
3,d4_no_geo,60.0,0.5625,0.5078125,0.0546875
3,d4_full_legacy_route,-60.0,0.58984375,0.35546875,0.234375
3,d4_full_legacy_route,-30.0,0.7578125,0.6328125,0.125
3,d4_full_legacy_route,0.0,0.92578125,0.89453125,0.03125
3,d4_full_legacy_route,30.0,0.77734375,0.77734375,0.0
3,d4_full_legacy_route,60.0,0.546875,0.5078125,0.0390625
3,d4_full_stationary_route,-60.0,0.58984375,0.359375,0.23046875
3,d4_full_stationary_route,-30.0,0.7578125,0.62109375,0.13671875
3,d4_full_stationary_route,0.0,0.92578125,0.90234375,0.0234375
3,d4_full_stationary_route,30.0,0.78515625,0.78515625,0.0
3,d4_full_stationary_route,60.0,0.5625,0.5078125,0.0546875
