model_seed,method,partition,space,source_rho_mean,source_rho_ci_low,source_rho_ci_high,source_stress_mean,source_stress_ci_low,source_stress_ci_high,centroid_rho,centroid_stress
3,d4_no_geo,C1_trained,context,0.34977675767454836,0.3156048074545159,0.3858792213402539,0.47302258267243624,0.4611453040107817,0.48575276220242736,0.3877414529598742,0.49735600941929053
3,d4_no_geo,C1_trained,route,0.30361824326289333,0.2667317800853277,0.3417710239418007,0.5241168933308027,0.510021695981967,0.5381071267956197,0.3496029493900505,0.4974615687204934
3,d4_no_geo,C1_trained,synthesis,0.5589426131903001,0.5238792747683428,0.5929122009076673,0.37128942009817006,0.3628400587002571,0.3799054562089323,0.7055623160417382,0.3721888180621908
3,d4_no_geo,dense_heldout,context,0.2854163954799952,0.2516135213007917,0.32151345036343937,0.5169326860555133,0.5045133411109284,0.529323410611522,0.1401651115770303,0.5949219235754272
3,d4_no_geo,dense_heldout,route,0.2492800776515421,0.21626858595109763,0.286179141223633,0.5651027691889121,0.5510461423644486,0.5786916033022558,0.2545103341793445,0.5570007737187113
3,d4_no_geo,dense_heldout,synthesis,0.4782442828397193,0.44580318447341916,0.5098785096755596,0.4157062763936835,0.40774359251241044,0.42374718776209086,0.4075853902437328,0.4652794952788361
3,d4_full_legacy_route,C1_trained,context,0.4624541855390405,0.4239525468033909,0.5019875005919598,0.4264348425153778,0.41348039371502504,0.4401480129911785,0.5593647190240808,0.4097758216006303
3,d4_full_legacy_route,C1_trained,route,0.2815942506415172,0.2416394504986906,0.3204068820576435,0.5161657510879931,0.5016717725284566,0.5320524137872447,0.1080590934478338,0.562575861195692
3,d4_full_legacy_route,C1_trained,synthesis,0.5543739382834985,0.5183143059450442,0.5882603463218558,0.3719501670043517,0.3635649749016275,0.38063179374184847,0.5339390499775316,0.3846700968844545
3,d4_full_legacy_route,dense_heldout,context,0.3529342524752629,0.31778040879829605,0.38621338058067683,0.4814415748680094,0.46976110326014975,0.4938354846989044,0.31168294548050157,0.5422930702601931
3,d4_full_legacy_route,dense_heldout,route,0.22570069801587078,0.19569534308214642,0.25768829135679194,0.5604669779237027,0.5482107161621439,0.5732746231748915,0.18073922282301277,0.60721920389535
3,d4_full_legacy_route,dense_heldout,synthesis,0.47748063656981976,0.4446321401227384,0.5098471713616534,0.41518267844354473,0.40715242429402043,0.42291787127266917,0.3596341678621172,0.4720526584588839
3,d4_full_stationary_route,C1_trained,context,0.4724357470202053,0.436126575644722,0.5118430510668637,0.42156066092638206,0.4087377928978836,0.43521567652890675,0.5593647190240808,0.4258642463625219
3,d4_full_stationary_route,C1_trained,route,0.2775221708332809,0.2397902545004076,0.3139784585067142,0.5130057026520194,0.49938528438799823,0.5275084394316135,0.1398411797560202,0.5817314111576709
3,d4_full_stationary_route,C1_trained,synthesis,0.549383157542916,0.5130255681453226,0.5827419332890477,0.3738143618976401,0.3654199693406196,0.3823444384687623,0.5339390499775316,0.3932783730164838
3,d4_full_stationary_route,dense_heldout,context,0.36336594869049416,0.3294688794643195,0.3987234914078517,0.476466234139428,0.46475261976501453,0.48846671908264877,0.23237900077244497,0.554897723283548
3,d4_full_stationary_route,dense_heldout,route,0.23984256242919885,0.20729610249028285,0.27324578305347147,0.5506893748800521,0.537628701063076,0.5639399893314202,0.08668105584368979,0.625113218623307
3,d4_full_stationary_route,dense_heldout,synthesis,0.4744548683305952,0.4414059147376652,0.5066908268144861,0.41623807425723114,0.4082854322817139,0.42419961536872525,0.3301257233195845,0.4780892257784153
