model_seed,contrast,partition,space,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
3,stationary_full_vs_no_geo,C1_trained,context,rho,0.12265898934565692,0.08686131092169595,0.1598322361926441,256
3,stationary_full_vs_no_geo,C1_trained,context,stress,-0.05146192174605424,-0.06587905135902067,-0.036581632945721566,256
3,stationary_full_vs_no_geo,C1_trained,route,rho,-0.026096072429612437,-0.057664002101542516,0.0076593586514982675,256
3,stationary_full_vs_no_geo,C1_trained,route,stress,-0.011111190678783169,-0.02592131370894169,0.0026541669039576482,256
3,stationary_full_vs_no_geo,C1_trained,synthesis,rho,-0.009559455647384196,-0.016933892861080567,-0.001961550639333381,256
3,stationary_full_vs_no_geo,C1_trained,synthesis,stress,0.002524941799470041,0.001200134559346969,0.0037291213115374492,256
3,stationary_full_vs_no_geo,dense_heldout,context,rho,0.07794955321049896,0.0458675847173544,0.11094843754327997,256
3,stationary_full_vs_no_geo,dense_heldout,context,stress,-0.04046645191608539,-0.05298718154982982,-0.029007056166474185,256
3,stationary_full_vs_no_geo,dense_heldout,route,rho,-0.009437515222343224,-0.03992609254808187,0.02027877078138382,256
3,stationary_full_vs_no_geo,dense_heldout,route,stress,-0.014413394308859984,-0.027091321032055186,-0.002193350908094787,256
3,stationary_full_vs_no_geo,dense_heldout,synthesis,rho,-0.003789414509124068,-0.010196118545177369,0.0023889160669687097,256
3,stationary_full_vs_no_geo,dense_heldout,synthesis,stress,0.0005317978635476191,-0.0005038508477090831,0.0016463129419738744,256
3,stationary_vs_legacy_route,C1_trained,context,rho,0.00998156148116479,-0.007948004552539432,0.027123403539769612,256
3,stationary_vs_legacy_route,C1_trained,context,stress,-0.00487418158899575,-0.010185923296246815,0.00042373083103944346,256
3,stationary_vs_legacy_route,C1_trained,route,rho,-0.004072079808236385,-0.02270308641866425,0.017207640909164754,256
3,stationary_vs_legacy_route,C1_trained,route,stress,-0.003160048435973601,-0.010226483737358464,0.0037176272399719566,256
3,stationary_vs_legacy_route,C1_trained,synthesis,rho,-0.004990780740582401,-0.010404908802691811,-4.965950985654689e-05,256
3,stationary_vs_legacy_route,C1_trained,synthesis,stress,0.001864194893288429,0.0011367109457273384,0.0026327747934618445,256
3,stationary_vs_legacy_route,dense_heldout,context,rho,0.01043169621523128,-0.004706690559265183,0.02649888577601828,256
3,stationary_vs_legacy_route,dense_heldout,context,stress,-0.004975340728581413,-0.010268570476487462,3.719600478230453e-05,256
3,stationary_vs_legacy_route,dense_heldout,route,rho,0.014141864413328046,-0.0027548899397130096,0.029796973156773036,256
3,stationary_vs_legacy_route,dense_heldout,route,stress,-0.009777603043650588,-0.01599835617439771,-0.003145980960094184,256
3,stationary_vs_legacy_route,dense_heldout,synthesis,rho,-0.00302576823922454,-0.007364683873222072,0.0008070516357122207,256
3,stationary_vs_legacy_route,dense_heldout,synthesis,stress,0.001055395813686471,0.0004616963244346981,0.0017360814166104243,256
