method,metric,mean,seed_ci_low,seed_ci_high,seed_sd,seed_count
d4_full_legacy_route,mean_csr,0.7582685288633175,-0.06801946166344053,1.5845565193900755,0.6654682681644104,5
d4_full_legacy_route,min_source_csr_ci_low,0.58182002082271,-0.2459406770559065,1.4095807187013265,0.6666543437484564,5
d4_full_legacy_route,mean_prediction_preservation,0.99453125,0.9892737042923088,0.9997887957076912,0.004234274099351328,5
d4_full_legacy_route,min_prediction_preservation_ci_low,0.971875,0.9465791908639265,0.9971708091360736,0.020372507516258277,5
d4_full_legacy_route,mean_class_log_prob_drop,0.001561607717667357,-0.0012470379369741305,0.0043702533723088445,0.002262001361644189,5
d4_full_stationary_route,mean_csr,0.5231768061073199,-0.07502312303213532,1.1213767352467752,0.4817727903884075,5
d4_full_stationary_route,min_source_csr_ci_low,0.335939504868104,-0.19797920498882338,0.8698582147250313,0.4300025696398642,5
d4_full_stationary_route,mean_prediction_preservation,0.993359375,0.9889539166673847,0.9977648333326153,0.0035480277587079984,5
d4_full_stationary_route,min_prediction_preservation_ci_low,0.9703125,0.9596861346772148,0.9809388653227853,0.00855816496101822,5
d4_full_stationary_route,mean_class_log_prob_drop,0.001257380469542113,-0.001037168056740214,0.0035519289958244405,0.0018479625161087858,5
d4_no_geo,mean_csr,0.514373488121089,0.05697053848661887,0.9717764377555591,0.36837900615316604,5
d4_no_geo,min_source_csr_ci_low,0.27468177175702896,-0.10692740372280907,0.656290947236867,0.30733690920561996,5
d4_no_geo,mean_prediction_preservation,0.995703125,0.9917182380039555,0.9996880119960445,0.003209311860381833,5
d4_no_geo,min_prediction_preservation_ci_low,0.971875,0.9465791908639265,0.9971708091360736,0.020372507516258277,5
d4_no_geo,mean_class_log_prob_drop,0.0011238529139518505,-0.0010213942233541359,0.003269100051257837,0.0017277195283179462,5
