model_seed,method,mean_functional_csr,min_functional_csr_ci_low,min_prediction_preservation
0,r0_mlp,0.12083087897664277,0.0015367309728639416,0.9905660377358491
0,r1_linear,0.6363275242452837,0.21149894791437057,0.9905660377358491
0,r2_prototype_energy,1.2268276725851144,1.0712658397838168,0.9433962264150944
0,r3_hybrid_energy,1.2808229021352946,1.0305919211852472,0.9716981132075472
1,r0_mlp,0.1942951723944828,0.0016859173658743257,1.0
1,r1_linear,1.2166756429966434,1.0148299882522884,1.0
1,r2_prototype_energy,1.1146078021830226,0.8322912841149258,0.9622641509433962
1,r3_hybrid_energy,0.8490421840091438,0.7400044456978246,1.0
2,r0_mlp,0.2576607033284306,0.02271070084763321,0.9905660377358491
2,r1_linear,0.16929451370783763,0.0040698964464013394,1.0
2,r2_prototype_energy,1.348908868856014,1.0492305202287595,0.9622641509433962
2,r3_hybrid_energy,1.0866628094249124,0.8691739666933244,0.9811320754716981
3,r0_mlp,1.0095550875356754,0.46746153790233647,1.0
3,r1_linear,2.5697803872750797,1.1989676871766697,0.9811320754716981
3,r2_prototype_energy,0.9511877043939426,0.6910623768889859,0.9905660377358491
3,r3_hybrid_energy,0.9481990919068258,0.64241186059236,0.9622641509433962
4,r0_mlp,0.028843535663381603,3.506671360025275e-05,1.0
4,r1_linear,19.172341225315023,3.683681540222794,0.9811320754716981
4,r2_prototype_energy,0.2912985765223094,0.12400807661637843,0.9905660377358491
4,r3_hybrid_energy,0.32036887697336985,0.17006276110732008,0.9905660377358491
