model_seed,contrast,partition,geometry,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
1,r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.08671543611149235,0.0589557701016858,0.11442569090899167,640
1,r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,-0.013093091965929227,-0.024448318631613637,-0.0018542960959742076,640
1,r2_prototype_energy_vs_r0_mlp,trained,functional,rho,0.009097622205718359,-0.020351956924506313,0.03891418511378286,640
1,r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.02397983220143874,-0.03677069437483192,-0.011193594717821382,640
1,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.030001212512920695,0.007863899611643655,0.05290217168409724,640
1,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.00566883288675947,-0.015519464607269032,0.0035599815841281805,640
1,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,-0.03565507659421455,-0.05819870694475889,-0.012455935167272548,640
1,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.010013302147440775,-0.019928173627480596,-0.0004407787058126827,640
1,r2_prototype_energy_vs_r1_linear,trained,nominal,rho,0.033400986329509656,0.012054349422576832,0.05434836077719589,640
1,r2_prototype_energy_vs_r1_linear,trained,nominal,stress,-0.0021523913619603515,-0.01051984692498256,0.006181562679313427,640
1,r2_prototype_energy_vs_r1_linear,trained,functional,rho,0.009008235087976584,-0.014421618257438141,0.03242790823387073,640
1,r2_prototype_energy_vs_r1_linear,trained,functional,stress,-0.027598331119699997,-0.03678580116670143,-0.01833785874341397,640
1,r2_prototype_energy_vs_r1_linear,heldout_dense,nominal,rho,0.030522797323682255,0.011197287621856029,0.04950473824615464,640
1,r2_prototype_energy_vs_r1_linear,heldout_dense,nominal,stress,-0.019389543266884388,-0.027056124230229503,-0.011381820858945919,640
1,r2_prototype_energy_vs_r1_linear,heldout_dense,functional,rho,-0.001651204953405394,-0.02129031392059697,0.017005249757047522,640
1,r2_prototype_energy_vs_r1_linear,heldout_dense,functional,stress,-0.038322467133583955,-0.046065893115447364,-0.030448348956837446,640
1,r1_linear_vs_r0_mlp,trained,nominal,rho,0.05331444978198271,0.02452683191814573,0.08253708495216296,640
1,r1_linear_vs_r0_mlp,trained,nominal,stress,-0.010940700603968874,-0.023235716049470105,0.001614248392251947,640
1,r1_linear_vs_r0_mlp,trained,functional,rho,8.938711774176822e-05,-0.029905205133158436,0.0315705367961975,640
1,r1_linear_vs_r0_mlp,trained,functional,stress,0.003618498918261254,-0.010303835846119193,0.017269639634691858,640
1,r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,-0.0005215848107615606,-0.02200706078278851,0.02249565031132234,640
1,r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,0.013720710380124918,0.0037838287426305763,0.022999307124134442,640
1,r1_linear_vs_r0_mlp,heldout_dense,functional,rho,-0.03400387164080916,-0.057334706028258416,-0.009731302909951736,640
1,r1_linear_vs_r0_mlp,heldout_dense,functional,stress,0.028309164986143182,0.017362236622429944,0.03879952856874197,640
