partition,method,mean_raw_norm,std_raw_norm,mean_path_variance,minimum_path_variance,effective_rank,mean_near_half_chord,mean_far_half_chord,far_to_near_ratio
C1_trained,cb_d2_no_geo,0.9839489278385016,0.3307613462868612,0.12684789766891147,0.0007034077891697626,1.4823313754622198,0.15248122756425841,0.22449656573171306,1.472289863597183
C1_trained,cb_d2_route_geo,1.0547932619195237,0.31895128862295596,0.19828242808501817,0.0011657548275959863,1.8386838393372744,0.2090896054729047,0.28509288823717194,1.3634962273345352
C1_trained,cb_d2_context_geo,0.7712298212132589,0.3182509558698922,0.367019640628497,0.012898820308662096,1.8163791837922967,0.304799818067348,0.4389233708443372,1.4400381654668621
C1_trained,cb_d2_route_context_geo,0.7804292417250013,0.3217280457732321,0.34144602586876915,0.014583446808024971,1.8082608789570178,0.2979830283477479,0.4242866054205674,1.4238616466620457
C1_trained,cb_d2_full_alignment,0.6566244983241875,0.3823307115073974,0.6080906120130962,0.0017111065395928194,1.8375869873869375,0.375361453188205,0.6038385175850306,1.6086854749101474
C1_trained,cb_d4_no_geo,1.4442052800583818,0.3007444383671208,0.0874011688309809,0.007804124117406372,2.636277237376043,0.17354710990989697,0.2366983342509735,1.3638851973614754
C1_trained,cb_d4_full_alignment,0.7935247949452258,0.2523655595526483,0.6383991195492329,0.10140606407453201,3.493217171318188,0.43635624844774673,0.6863477426546707,1.5729068739045688
C2_interpolation,cb_d2_no_geo,0.993405274471173,0.34268936301247926,0.11271293521480513,0.00047170930954309976,1.4779090918310551,0.1504383739384005,0.2252737823639196,1.4974489318540607
C2_interpolation,cb_d2_route_geo,1.0670424183172478,0.3317940535781157,0.18505846129585313,0.00045699986211271415,1.9112330287628394,0.2065829369300307,0.2845816071653596,1.3775658890053777
C2_interpolation,cb_d2_context_geo,0.7554453376154798,0.32278515257938883,0.3419983207221201,0.0026877938530567302,1.8013357976653193,0.31069454116719625,0.44849375535908614,1.4435199076051195
C2_interpolation,cb_d2_route_context_geo,0.7556020766185139,0.3309426821998633,0.33161753276168804,0.007367127750492308,1.813391508867136,0.3113672555217004,0.445643336121702,1.4312466330957634
C2_interpolation,cb_d2_full_alignment,0.6733230627715691,0.39377469807816745,0.5245393273912147,0.005000176714505089,1.8299411546521125,0.3674078170411172,0.5966690114108698,1.623996506704961
C2_interpolation,cb_d4_no_geo,1.4625886700611537,0.3108062387538852,0.07191011991313864,0.0037709826760519982,2.6206725673206788,0.1657617458495189,0.22462911984896164,1.3551324444476078
C2_interpolation,cb_d4_full_alignment,0.8143402989550605,0.25887805079734094,0.5060608945861602,0.0899036538446091,3.6006554299534814,0.41173863580915043,0.6497882981279882,1.578157213376446
extrapolation,cb_d2_no_geo,0.9564567983703249,0.2771340223394964,0.07058351880145768,3.0171856294641808e-06,1.3643760148339446,,0.2018997185887043,
extrapolation,cb_d2_route_geo,1.009113950810634,0.264323018249481,0.09360192389822035,3.856642891348662e-08,1.5510405536682357,,0.24559307462903973,
extrapolation,cb_d2_context_geo,0.836949930570311,0.26577775694540273,0.10733392205163383,1.045520381381948e-08,1.7334996846338417,,0.24060276362836847,
extrapolation,cb_d2_route_context_geo,0.8631334106859929,0.2557299212215521,0.09215340825736026,5.080891416042732e-06,1.650767586225747,,0.22424256966393402,
extrapolation,cb_d2_full_alignment,0.5410981638517662,0.28580470677173014,0.3772292659531744,2.6607638227815755e-05,1.8149590268668245,,0.527590803578476,
extrapolation,cb_d4_no_geo,1.364857326808207,0.23006104112316256,0.05490250764256439,0.0007577260665816432,2.354648670683141,,0.21797279730902702,
extrapolation,cb_d4_full_alignment,0.6752513189526171,0.19908998597800587,0.34981068823915656,0.011421541508053468,3.560344545366408,,0.5541705718925389,
