partition,method,space,source_rho_mean,source_rho_ci_low,source_rho_ci_high,source_stress_mean,source_stress_ci_low,source_stress_ci_high,centroid_rho,centroid_stress
C1_trained,cb_d2_no_geo,sensory,0.5031253241115479,0.4676597436597525,0.5414798465492474,0.3890499079085929,0.3802183105045764,0.3982764540111878,0.5911468053322673,0.3591983611844472
C1_trained,cb_d2_no_geo,context,0.2469567425165797,0.1997901400548368,0.2954535990986047,0.557122701798743,0.5402497209254705,0.573763275855304,0.7055623160417382,0.3552621678829923
C1_trained,cb_d2_no_geo,route,0.2334741855905288,0.1863001342023074,0.279044855554257,0.5972481859876224,0.5805156748227778,0.6132330094543198,0.05085133809309826,0.6029489177439007
C1_trained,cb_d2_no_geo,synthesis,0.5415617847405108,0.5054022126384702,0.5770317103994186,0.37676850187130506,0.36713558946850333,0.3870008664521069,0.5593647190240808,0.36839509298501755
C1_trained,cb_d2_route_geo,sensory,0.5031253241115479,0.4676597436597525,0.5414798465492474,0.3890499079085929,0.3802183105045764,0.3982764540111878,0.5911468053322673,0.3591983611844472
C1_trained,cb_d2_route_geo,context,0.182026933379152,0.1452255121122157,0.21960428448759678,0.572414194399868,0.5567313325423887,0.5887570467593546,0.9534625892455922,0.14051294738676623
C1_trained,cb_d2_route_geo,route,0.17626643023579322,0.14130365232129535,0.21550116748570006,0.5771226255129158,0.5625134811272139,0.5935369028167814,0.8136214094895722,0.24509052099187414
C1_trained,cb_d2_route_geo,synthesis,0.5434985056249159,0.5057001696976094,0.5784519723813156,0.375973299957558,0.366468320903726,0.38600385938082815,0.5593647190240808,0.3605793612630622
C1_trained,cb_d2_context_geo,sensory,0.5031253241115479,0.4676597436597525,0.5414798465492474,0.3890499079085929,0.3802183105045764,0.3982764540111878,0.5911468053322673,0.3591983611844472
C1_trained,cb_d2_context_geo,context,0.206980837082064,0.17227690936269335,0.24268602466891717,0.5774217109622339,0.5648084787685737,0.5900943266781934,-0.02542566904654913,0.626734715465882
C1_trained,cb_d2_context_geo,route,0.2593964497356433,0.22354600808245975,0.2953319332994561,0.570184544426598,0.5560178810613431,0.5840045542155835,0.43859279105297244,0.5644833832374125
C1_trained,cb_d2_context_geo,synthesis,0.5626174169196843,0.5296161896445197,0.5960891680507395,0.3732031015125686,0.36404258037735304,0.3821547323194429,0.6419981434253654,0.3537739678041364
C1_trained,cb_d2_route_context_geo,sensory,0.5031253241115479,0.4676597436597525,0.5414798465492474,0.3890499079085929,0.3802183105045764,0.3982764540111878,0.5911468053322673,0.3591983611844472
C1_trained,cb_d2_route_context_geo,context,0.1878619257872956,0.1533007691587625,0.22349200336549074,0.5813614254054407,0.5679567690438331,0.5937010540148834,-0.07627700713964738,0.6171771068387487
C1_trained,cb_d2_route_context_geo,route,0.25159990668816634,0.21545088723197034,0.2874931796686011,0.5732201732858968,0.5589545017743007,0.5862872720732156,0.1080590934478338,0.5655559875942636
C1_trained,cb_d2_route_context_geo,synthesis,0.555441617745414,0.5215819016936045,0.5895732196136881,0.3739062566686938,0.3644317215322728,0.3830299227025909,0.6419981434253654,0.35840617734983315
C1_trained,cb_d2_full_alignment,sensory,0.5031253241115479,0.4676597436597525,0.5414798465492474,0.3890499079085929,0.3802183105045764,0.3982764540111878,0.5911468053322673,0.3591983611844472
C1_trained,cb_d2_full_alignment,context,0.4025648166520518,0.3638291574762032,0.441756101830834,0.4940428860625612,0.4782115129691093,0.51140381322899,0.3432465321284132,0.5263260976002716
C1_trained,cb_d2_full_alignment,route,0.3271071914250373,0.29065090375160396,0.37061016354711385,0.5476419685129639,0.5332736549679432,0.5631538865288226,0.41316712200642336,0.5295650453406231
C1_trained,cb_d2_full_alignment,synthesis,0.5759261655612373,0.5428845899343143,0.6099478957639537,0.3688730776453789,0.3598374329827172,0.37791029796203174,0.6419981434253654,0.35567502199870576
C1_trained,cb_d4_no_geo,sensory,0.5031253241115479,0.4676597436597525,0.5414798465492474,0.3890499079085929,0.3802183105045764,0.3982764540111878,0.5911468053322673,0.3591983611844472
C1_trained,cb_d4_no_geo,context,0.3013339058094924,0.2601698966016589,0.3450100654721936,0.4664905686601196,0.4520783002435179,0.480512508183214,0.6483545606870027,0.34594319341355956
C1_trained,cb_d4_no_geo,route,0.19161121878146448,0.14578604382972138,0.23293910437182452,0.5429984652296358,0.5259730773626587,0.5606372867283661,0.495800546407708,0.38511187576976535
