method,stage,angle,angle_type,accuracy,nll
cb_d2_no_geo,0,-60.0,train,0.54296875,1.4101669788360596
cb_d2_no_geo,0,-30.0,train,0.375,1.7763020992279053
cb_d2_no_geo,0,0.0,train,0.265625,2.2088747024536133
cb_d2_no_geo,0,30.0,train,0.21484375,2.1843013763427734
cb_d2_no_geo,0,60.0,train,0.20703125,2.1435418128967285
cb_d2_no_geo,0,-45.0,interpolation,0.5078125,1.485368013381958
cb_d2_no_geo,0,-15.0,interpolation,0.3125,2.0808475017547607
cb_d2_no_geo,0,15.0,interpolation,0.2265625,2.243457555770874
cb_d2_no_geo,0,45.0,interpolation,0.1875,2.1229166984558105
cb_d2_no_geo,0,-75.0,extrapolation,0.5078125,1.5232652425765991
cb_d2_no_geo,0,75.0,extrapolation,0.19140625,2.263869285583496
cb_d2_no_geo,1,-60.0,train,0.5703125,1.2235521078109741
cb_d2_no_geo,1,-30.0,train,0.81640625,0.7894368767738342
cb_d2_no_geo,1,0.0,train,0.69140625,1.0457454919815063
cb_d2_no_geo,1,30.0,train,0.3828125,1.8047723770141602
cb_d2_no_geo,1,60.0,train,0.10546875,2.6209301948547363
cb_d2_no_geo,1,-45.0,interpolation,0.69921875,0.9397720098495483
cb_d2_no_geo,1,-15.0,interpolation,0.765625,0.8747107982635498
cb_d2_no_geo,1,15.0,interpolation,0.55859375,1.3805962800979614
cb_d2_no_geo,1,45.0,interpolation,0.1796875,2.320542335510254
cb_d2_no_geo,1,-75.0,extrapolation,0.4296875,1.563042402267456
cb_d2_no_geo,1,75.0,extrapolation,0.0703125,2.7830190658569336
cb_d2_no_geo,2,-60.0,train,0.34765625,1.9170353412628174
cb_d2_no_geo,2,-30.0,train,0.69921875,0.8945935368537903
cb_d2_no_geo,2,0.0,train,0.8984375,0.3224998414516449
cb_d2_no_geo,2,30.0,train,0.640625,1.2673300504684448
cb_d2_no_geo,2,60.0,train,0.1484375,3.124702215194702
cb_d2_no_geo,2,-45.0,interpolation,0.484375,1.4276114702224731
cb_d2_no_geo,2,-15.0,interpolation,0.875,0.4090268909931183
cb_d2_no_geo,2,15.0,interpolation,0.81640625,0.5949774980545044
cb_d2_no_geo,2,45.0,interpolation,0.30078125,2.3463551998138428
cb_d2_no_geo,2,-75.0,extrapolation,0.26171875,2.3434150218963623
cb_d2_no_geo,2,75.0,extrapolation,0.109375,3.425487995147705
cb_d2_no_geo,3,-60.0,train,0.328125,1.9584370851516724
cb_d2_no_geo,3,-30.0,train,0.47265625,1.402784824371338
cb_d2_no_geo,3,0.0,train,0.7734375,0.7021846771240234
cb_d2_no_geo,3,30.0,train,0.703125,0.9151009321212769
cb_d2_no_geo,3,60.0,train,0.46875,1.4681460857391357
cb_d2_no_geo,3,-45.0,interpolation,0.34765625,1.7903196811676025
cb_d2_no_geo,3,-15.0,interpolation,0.66015625,0.934747576713562
cb_d2_no_geo,3,15.0,interpolation,0.80078125,0.7381337285041809
cb_d2_no_geo,3,45.0,interpolation,0.5703125,1.176965355873108
cb_d2_no_geo,3,-75.0,extrapolation,0.328125,2.069751024246216
cb_d2_no_geo,3,75.0,extrapolation,0.39453125,1.810741662979126
cb_d2_no_geo,4,-60.0,train,0.31640625,2.034252405166626
cb_d2_no_geo,4,-30.0,train,0.58984375,1.2540003061294556
cb_d2_no_geo,4,0.0,train,0.84375,0.5434927344322205
cb_d2_no_geo,4,30.0,train,0.80078125,0.7580066323280334
cb_d2_no_geo,4,60.0,train,0.4609375,1.3852312564849854
cb_d2_no_geo,4,-45.0,interpolation,0.37109375,1.7417348623275757
cb_d2_no_geo,4,-15.0,interpolation,0.7578125,0.7871977686882019
cb_d2_no_geo,4,15.0,interpolation,0.86328125,0.5755302906036377
cb_d2_no_geo,4,45.0,interpolation,0.65625,1.0548946857452393
cb_d2_no_geo,4,-75.0,extrapolation,0.2109375,2.2686173915863037
cb_d2_no_geo,4,75.0,extrapolation,0.28125,1.8817994594573975
cb_d2_route_geo,0,-60.0,train,0.54296875,1.4101669788360596
cb_d2_route_geo,0,-30.0,train,0.375,1.7763020992279053
cb_d2_route_geo,0,0.0,train,0.265625,2.2088747024536133
cb_d2_route_geo,0,30.0,train,0.21484375,2.1843013763427734
cb_d2_route_geo,0,60.0,train,0.20703125,2.1435418128967285
cb_d2_route_geo,0,-45.0,interpolation,0.5078125,1.485368013381958
cb_d2_route_geo,0,-15.0,interpolation,0.3125,2.0808475017547607
cb_d2_route_geo,0,15.0,interpolation,0.2265625,2.243457555770874
cb_d2_route_geo,0,45.0,interpolation,0.1875,2.1229166984558105
cb_d2_route_geo,0,-75.0,extrapolation,0.5078125,1.5232652425765991
cb_d2_route_geo,0,75.0,extrapolation,0.19140625,2.263869285583496
cb_d2_route_geo,1,-60.0,train,0.5703125,1.2217597961425781
cb_d2_route_geo,1,-30.0,train,0.8203125,0.7927921414375305
cb_d2_route_geo,1,0.0,train,0.69140625,1.038529872894287
cb_d2_route_geo,1,30.0,train,0.37890625,1.7912014722824097
cb_d2_route_geo,1,60.0,train,0.11328125,2.6101644039154053
cb_d2_route_geo,1,-45.0,interpolation,0.6953125,0.9457617402076721
cb_d2_route_geo,1,-15.0,interpolation,0.76953125,0.8722583651542664
cb_d2_route_geo,1,15.0,interpolation,0.5625,1.369985580444336
cb_d2_route_geo,1,45.0,interpolation,0.1875,2.302419424057007
cb_d2_route_geo,1,-75.0,extrapolation,0.44140625,1.5666946172714233
cb_d2_route_geo,1,75.0,extrapolation,0.07421875,2.767723321914673
cb_d2_route_geo,2,-60.0,train,0.35546875,1.9153785705566406
cb_d2_route_geo,2,-30.0,train,0.6953125,0.9001636505126953
cb_d2_route_geo,2,0.0,train,0.90234375,0.3030841052532196
cb_d2_route_geo,2,30.0,train,0.64453125,1.2276146411895752
cb_d2_route_geo,2,60.0,train,0.15234375,3.112973928451538
cb_d2_route_geo,2,-45.0,interpolation,0.48046875,1.4456514120101929
cb_d2_route_geo,2,-15.0,interpolation,0.87890625,0.41620683670043945
cb_d2_route_geo,2,15.0,interpolation,0.828125,0.5813340544700623
cb_d2_route_geo,2,45.0,interpolation,0.30078125,2.2825067043304443
cb_d2_route_geo,2,-75.0,extrapolation,0.26171875,2.3707876205444336
cb_d2_route_geo,2,75.0,extrapolation,0.11328125,3.4547877311706543
cb_d2_route_geo,3,-60.0,train,0.33203125,1.9544918537139893
cb_d2_route_geo,3,-30.0,train,0.4453125,1.4960579872131348
cb_d2_route_geo,3,0.0,train,0.69140625,0.8492012619972229
cb_d2_route_geo,3,30.0,train,0.67578125,0.967759907245636
cb_d2_route_geo,3,60.0,train,0.47265625,1.4629002809524536
cb_d2_route_geo,3,-45.0,interpolation,0.34375,1.816047191619873
cb_d2_route_geo,3,-15.0,interpolation,0.5859375,1.082255482673645
cb_d2_route_geo,3,15.0,interpolation,0.73828125,0.85397869348526
cb_d2_route_geo,3,45.0,interpolation,0.5703125,1.1931302547454834
cb_d2_route_geo,3,-75.0,extrapolation,0.30859375,2.096278429031372
cb_d2_route_geo,3,75.0,extrapolation,0.375,1.8303539752960205
cb_d2_route_geo,4,-60.0,train,0.32421875,1.9762629270553589
cb_d2_route_geo,4,-30.0,train,0.61328125,1.1726492643356323
cb_d2_route_geo,4,0.0,train,0.87109375,0.5191389322280884
cb_d2_route_geo,4,30.0,train,0.79296875,0.7498047947883606
cb_d2_route_geo,4,60.0,train,0.4609375,1.375665545463562
cb_d2_route_geo,4,-45.0,interpolation,0.39453125,1.663725733757019
cb_d2_route_geo,4,-15.0,interpolation,0.76953125,0.7203586101531982
cb_d2_route_geo,4,15.0,interpolation,0.8828125,0.5621811151504517
cb_d2_route_geo,4,45.0,interpolation,0.64453125,1.0500699281692505
cb_d2_route_geo,4,-75.0,extrapolation,0.234375,2.216369867324829
cb_d2_route_geo,4,75.0,extrapolation,0.2890625,1.854633092880249
cb_d2_context_geo,0,-60.0,train,0.54296875,1.4101669788360596
cb_d2_context_geo,0,-30.0,train,0.375,1.7763020992279053
cb_d2_context_geo,0,0.0,train,0.265625,2.2088747024536133
cb_d2_context_geo,0,30.0,train,0.21484375,2.1843013763427734
cb_d2_context_geo,0,60.0,train,0.20703125,2.1435418128967285
cb_d2_context_geo,0,-45.0,interpolation,0.5078125,1.485368013381958
cb_d2_context_geo,0,-15.0,interpolation,0.3125,2.0808475017547607
cb_d2_context_geo,0,15.0,interpolation,0.2265625,2.243457555770874
cb_d2_context_geo,0,45.0,interpolation,0.1875,2.1229166984558105
cb_d2_context_geo,0,-75.0,extrapolation,0.5078125,1.5232652425765991
cb_d2_context_geo,0,75.0,extrapolation,0.19140625,2.263869285583496
cb_d2_context_geo,1,-60.0,train,0.59375,1.2087767124176025
cb_d2_context_geo,1,-30.0,train,0.81640625,0.7994056940078735
cb_d2_context_geo,1,0.0,train,0.66015625,1.0706143379211426
cb_d2_context_geo,1,30.0,train,0.37890625,1.7949174642562866
cb_d2_context_geo,1,60.0,train,0.109375,2.5964062213897705
cb_d2_context_geo,1,-45.0,interpolation,0.71484375,0.9301602244377136
cb_d2_context_geo,1,-15.0,interpolation,0.76171875,0.896954357624054
cb_d2_context_geo,1,15.0,interpolation,0.53125,1.4009226560592651
cb_d2_context_geo,1,45.0,interpolation,0.19140625,2.2812604904174805
cb_d2_context_geo,1,-75.0,extrapolation,0.4453125,1.5564910173416138
cb_d2_context_geo,1,75.0,extrapolation,0.078125,2.7568655014038086
cb_d2_context_geo,2,-60.0,train,0.33984375,1.8812135457992554
cb_d2_context_geo,2,-30.0,train,0.69921875,0.8731270432472229
cb_d2_context_geo,2,0.0,train,0.8984375,0.32039618492126465
cb_d2_context_geo,2,30.0,train,0.61328125,1.2693283557891846
