method,angle,best_accuracy,final_accuracy,forgetting
cb_d2_no_geo,-60.0,0.5703125,0.31640625,0.25390625
cb_d2_no_geo,-30.0,0.81640625,0.58984375,0.2265625
cb_d2_no_geo,0.0,0.8984375,0.84375,0.0546875
cb_d2_no_geo,30.0,0.80078125,0.80078125,0.0
cb_d2_no_geo,60.0,0.46875,0.4609375,0.0078125
cb_d2_route_geo,-60.0,0.5703125,0.32421875,0.24609375
cb_d2_route_geo,-30.0,0.8203125,0.61328125,0.20703125
cb_d2_route_geo,0.0,0.90234375,0.87109375,0.03125
cb_d2_route_geo,30.0,0.79296875,0.79296875,0.0
cb_d2_route_geo,60.0,0.47265625,0.4609375,0.01171875
cb_d2_context_geo,-60.0,0.59375,0.30078125,0.29296875
cb_d2_context_geo,-30.0,0.81640625,0.59765625,0.21875
cb_d2_context_geo,0.0,0.8984375,0.8515625,0.046875
cb_d2_context_geo,30.0,0.81640625,0.81640625,0.0
cb_d2_context_geo,60.0,0.5,0.4765625,0.0234375
cb_d2_route_context_geo,-60.0,0.59375,0.28515625,0.30859375
cb_d2_route_context_geo,-30.0,0.81640625,0.5859375,0.23046875
cb_d2_route_context_geo,0.0,0.90234375,0.83984375,0.0625
cb_d2_route_context_geo,30.0,0.80859375,0.80859375,0.0
cb_d2_route_context_geo,60.0,0.5,0.4765625,0.0234375
cb_d2_full_alignment,-60.0,0.61328125,0.28515625,0.328125
cb_d2_full_alignment,-30.0,0.80859375,0.5625,0.24609375
cb_d2_full_alignment,0.0,0.90625,0.83984375,0.06640625
cb_d2_full_alignment,30.0,0.80078125,0.80078125,0.0
cb_d2_full_alignment,60.0,0.4921875,0.46875,0.0234375
cb_d4_no_geo,-60.0,0.6328125,0.2578125,0.375
cb_d4_no_geo,-30.0,0.75390625,0.58203125,0.171875
cb_d4_no_geo,0.0,0.91015625,0.8125,0.09765625
cb_d4_no_geo,30.0,0.765625,0.765625,0.0
cb_d4_no_geo,60.0,0.49609375,0.48828125,0.0078125
cb_d4_full_alignment,-60.0,0.63671875,0.25,0.38671875
cb_d4_full_alignment,-30.0,0.75390625,0.59765625,0.15625
cb_d4_full_alignment,0.0,0.90234375,0.8359375,0.06640625
cb_d4_full_alignment,30.0,0.765625,0.765625,0.0
cb_d4_full_alignment,60.0,0.50390625,0.4921875,0.01171875
