method,scale,signed_route_effect,orthogonal_abs_effect_mean,csr
cb_d4_no_geo,-0.5,-0.026622720062732697,0.03748211939819157,0.710277873561685
cb_d4_no_geo,-0.25,-0.014894213527441025,0.020638430840335786,0.7216737378275749
cb_d4_no_geo,0.0,-1.3352805527944156e-09,3.9229055559530934e-09,0.0
cb_d4_no_geo,0.25,0.015694016590714455,0.0214878108818084,0.7303683319365503
cb_d4_no_geo,0.5,0.02967831864953041,0.04038919904269278,0.7348082990742005
cb_d4_full_alignment,-0.5,-0.04855181649327278,0.026482754619792104,1.8333370976819452
cb_d4_full_alignment,-0.25,-0.0250486321747303,0.013480796129442751,1.8580973953031454
cb_d4_full_alignment,0.0,6.445819433764655e-10,1.5782889439819314e-09,0.0
cb_d4_full_alignment,0.25,0.022331055253744125,0.01253432163503021,1.7815926464926957
cb_d4_full_alignment,0.5,0.039071183651685715,0.023249862832017243,1.6804909316661012
