model_seed,method,angle,host,baseline_accuracy,ablated_accuracy,accuracy_drop,is_top_host,is_random_control
3,r0_mlp,-75.0,0,0.21875,0.1640625,0.0546875,1,0
3,r0_mlp,-75.0,1,0.21875,0.2109375,0.0078125,0,0
3,r0_mlp,-75.0,2,0.21875,0.2578125,-0.0390625,0,0
3,r0_mlp,-75.0,3,0.21875,0.3125,-0.09375,0,1
3,r0_mlp,-60.0,0,0.2734375,0.203125,0.0703125,1,0
3,r0_mlp,-60.0,1,0.2734375,0.2734375,0.0,0,0
3,r0_mlp,-60.0,2,0.2734375,0.28125,-0.0078125,0,0
3,r0_mlp,-60.0,3,0.2734375,0.28125,-0.0078125,0,1
3,r0_mlp,-45.0,0,0.390625,0.34375,0.046875,1,0
3,r0_mlp,-45.0,1,0.390625,0.3984375,-0.0078125,0,0
3,r0_mlp,-45.0,2,0.390625,0.3828125,0.0078125,0,1
3,r0_mlp,-45.0,3,0.390625,0.390625,0.0,0,0
3,r0_mlp,-30.0,0,0.6328125,0.53125,0.1015625,1,1
3,r0_mlp,-30.0,1,0.6328125,0.625,0.0078125,0,0
3,r0_mlp,-30.0,2,0.6328125,0.6328125,0.0,0,0
3,r0_mlp,-30.0,3,0.6328125,0.6171875,0.015625,0,0
3,r0_mlp,-15.0,0,0.859375,0.8359375,0.0234375,1,1
3,r0_mlp,-15.0,1,0.859375,0.859375,0.0,0,0
3,r0_mlp,-15.0,2,0.859375,0.875,-0.015625,0,0
3,r0_mlp,-15.0,3,0.859375,0.8515625,0.0078125,0,0
3,r0_mlp,0.0,0,0.9296875,0.9453125,-0.015625,1,0
3,r0_mlp,0.0,1,0.9296875,0.9140625,0.015625,0,0
3,r0_mlp,0.0,2,0.9296875,0.9375,-0.0078125,0,0
3,r0_mlp,0.0,3,0.9296875,0.9375,-0.0078125,0,1
3,r0_mlp,15.0,0,0.90625,0.8828125,0.0234375,1,1
3,r0_mlp,15.0,1,0.90625,0.9140625,-0.0078125,0,0
3,r0_mlp,15.0,2,0.90625,0.90625,0.0,0,0
3,r0_mlp,15.0,3,0.90625,0.8984375,0.0078125,0,0
3,r0_mlp,30.0,0,0.8671875,0.84375,0.0234375,1,0
3,r0_mlp,30.0,1,0.8671875,0.8515625,0.015625,0,0
3,r0_mlp,30.0,2,0.8671875,0.828125,0.0390625,0,1
3,r0_mlp,30.0,3,0.8671875,0.7890625,0.078125,0,0
3,r0_mlp,45.0,0,0.7265625,0.703125,0.0234375,1,1
3,r0_mlp,45.0,1,0.7265625,0.71875,0.0078125,0,0
3,r0_mlp,45.0,2,0.7265625,0.7109375,0.015625,0,0
3,r0_mlp,45.0,3,0.7265625,0.6484375,0.078125,0,0
