model_seed,method,stage,current_angle,seen_angles,context_checkpoint_hash,router_parameters,forward_images,optimizer_steps,wall_seconds,loss,current_ce,anchor_ce,balance,host_diversity
3,r0_mlp,0,-60.0,[-60.0],e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,4740,1024,16,1.4976946510005291,1.9569604620337486,1.9135850220918655,0.0,0.002301847234775778,0.865207128226757
3,r0_mlp,1,-30.0,"[-60.0, -30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,4740,2048,16,1.5595733400004974,1.4907890781760216,1.328473974019289,1.2492046356201172,0.008587688731495291,0.7393054589629173
3,r0_mlp,2,0.0,"[-60.0, -30.0, 0.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,4740,3072,16,3.3459767429994827,0.6931402869522572,0.5427357433363795,1.1883698292076588,0.02747338282642886,0.6038777157664299
3,r0_mlp,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,4740,4096,16,3.291775874999985,2.027300201356411,1.8838765174150467,1.1926349811255932,0.046651074662804604,0.4365531802177429
3,r0_mlp,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,4740,5120,16,4.037211894999928,0.8644140511751175,0.7149070855230093,1.2994828447699547,0.05190472467802465,0.339268758893013
3,r1_linear,0,-60.0,[-60.0],e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,20,1024,16,1.3760718029998316,1.9519373998045921,1.9075073450803757,0.0,0.03292950487229973,0.8556717038154602
3,r1_linear,1,-30.0,"[-60.0, -30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,20,2048,16,1.568997076999949,1.47915867716074,1.318673562258482,1.242493413388729,0.024222232052125037,0.7004930675029755
3,r1_linear,2,0.0,"[-60.0, -30.0, 0.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,20,3072,16,3.056492333999813,0.6819180008023977,0.5367112522944808,1.1766587905585766,0.017007596092298627,0.5338097549974918
3,r1_linear,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,20,4096,16,3.2590631900002336,2.085949182510376,1.9496623426675797,1.171341560781002,0.01590489939553663,0.3671486582607031
3,r1_linear,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,20,5120,16,4.607461469000555,0.8362408839166164,0.6940574757754803,1.2572411820292473,0.014076515974011272,0.31510939076542854
3,r2_prototype_energy,0,-60.0,[-60.0],e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,24,1024,16,0.9735752149999826,1.8995160013437271,1.8553594127297401,0.0,0.08033958566375077,0.8027921058237553
3,r2_prototype_energy,1,-30.0,"[-60.0, -30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,24,2048,16,1.57264642500013,1.4011456593871117,1.253504417836666,1.1937474608421326,0.022813786868937314,0.5425159987062216
3,r2_prototype_energy,2,0.0,"[-60.0, -30.0, 0.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,24,3072,16,2.143251157999657,0.559478597715497,0.42441989947110415,1.1878544501960278,0.006001944946547155,0.31946305837482214
3,r2_prototype_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,24,4096,16,3.2675569419998283,2.103481002151966,1.9830402135849,1.081630952656269,0.00525596449006116,0.2402978092432022
3,r2_prototype_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",e138aeac1dccf2dacf3052a2b3e417fe1b1f0e72dba61d128afa74b805801fef,24,5120,16,5.4814235620006,0.8300896473228931,0.699360191822052,1.1927437856793404,0.0051801976369461045,0.22392113041132689
