model_seed,method,stage,angle,angle_type,accuracy,nll
3,r0_mlp,0,-75.0,heldout,0.5328125,1.5220959186553955
3,r0_mlp,0,-60.0,train,0.5734375,1.405838918685913
3,r0_mlp,0,-45.0,heldout,0.5265625,1.4942545175552369
3,r0_mlp,0,-30.0,train,0.4046875,1.7961508274078368
3,r0_mlp,0,-15.0,heldout,0.3671875,2.062729287147522
3,r0_mlp,0,0.0,train,0.3359375,2.1876402378082274
3,r0_mlp,0,15.0,heldout,0.303125,2.227894592285156
3,r0_mlp,0,30.0,train,0.26875,2.1773847579956054
3,r0_mlp,0,45.0,heldout,0.2078125,2.179695558547974
3,r0_mlp,0,60.0,train,0.1390625,2.256811285018921
3,r0_mlp,0,75.0,heldout,0.14375,2.3677385807037354
3,r0_mlp,1,-75.0,heldout,0.4859375,1.5829301357269288
3,r0_mlp,1,-60.0,train,0.6140625,1.235714077949524
3,r0_mlp,1,-45.0,heldout,0.7140625,0.9465341567993164
3,r0_mlp,1,-30.0,train,0.7609375,0.8717820525169373
3,r0_mlp,1,-15.0,heldout,0.715625,0.9440460920333862
3,r0_mlp,1,0.0,train,0.60625,1.0877612829208374
3,r0_mlp,1,15.0,heldout,0.53125,1.3153810024261474
3,r0_mlp,1,30.0,train,0.41875,1.629988670349121
3,r0_mlp,1,45.0,heldout,0.2671875,2.050571417808533
3,r0_mlp,1,60.0,train,0.15,2.4117173194885253
3,r0_mlp,1,75.0,heldout,0.13125,2.605927085876465
3,r0_mlp,2,-75.0,heldout,0.2109375,2.4169804096221923
3,r0_mlp,2,-60.0,train,0.284375,1.9953198432922363
3,r0_mlp,2,-45.0,heldout,0.4984375,1.3817385196685792
3,r0_mlp,2,-30.0,train,0.753125,0.7998644471168518
3,r0_mlp,2,-15.0,heldout,0.896875,0.36186017394065856
3,r0_mlp,2,0.0,train,0.9296875,0.2765558511018753
3,r0_mlp,2,15.0,heldout,0.875,0.47056281566619873
3,r0_mlp,2,30.0,train,0.6625,1.0317121744155884
3,r0_mlp,2,45.0,heldout,0.390625,1.87190523147583
3,r0_mlp,2,60.0,train,0.2421875,2.5570957183837892
3,r0_mlp,2,75.0,heldout,0.1359375,2.947806167602539
3,r0_mlp,3,-75.0,heldout,0.225,2.403267192840576
3,r0_mlp,3,-60.0,train,0.2546875,2.2633132934570312
3,r0_mlp,3,-45.0,heldout,0.33125,1.9270097732543945
3,r0_mlp,3,-30.0,train,0.4890625,1.4465948343276978
3,r0_mlp,3,-15.0,heldout,0.6859375,0.8697256684303284
3,r0_mlp,3,0.0,train,0.7953125,0.6440443158149719
3,r0_mlp,3,15.0,heldout,0.765625,0.7240120649337769
3,r0_mlp,3,30.0,train,0.6921875,0.9140768885612488
3,r0_mlp,3,45.0,heldout,0.603125,1.1606755018234254
3,r0_mlp,3,60.0,train,0.5328125,1.3368077516555785
3,r0_mlp,3,75.0,heldout,0.4296875,1.7040543794631957
3,r0_mlp,4,-75.0,heldout,0.234375,2.4279008388519285
3,r0_mlp,4,-60.0,train,0.278125,2.1831170558929442
3,r0_mlp,4,-45.0,heldout,0.403125,1.723931646347046
3,r0_mlp,4,-30.0,train,0.625,1.16240234375
3,r0_mlp,4,-15.0,heldout,0.825,0.6015762567520142
3,r0_mlp,4,0.0,train,0.903125,0.392465740442276
3,r0_mlp,4,15.0,heldout,0.8765625,0.45681352019309995
3,r0_mlp,4,30.0,train,0.809375,0.6573075413703918
3,r0_mlp,4,45.0,heldout,0.6578125,0.9840536475181579
3,r0_mlp,4,60.0,train,0.5515625,1.2622211933135987
3,r0_mlp,4,75.0,heldout,0.4,1.7274852037429809
3,r1_linear,0,-75.0,heldout,0.5421875,1.5189180374145508
3,r1_linear,0,-60.0,train,0.571875,1.3986958503723144
3,r1_linear,0,-45.0,heldout,0.5359375,1.4846444845199585
3,r1_linear,0,-30.0,train,0.4078125,1.7880921602249145
3,r1_linear,0,-15.0,heldout,0.3625,2.061647963523865
3,r1_linear,0,0.0,train,0.3328125,2.1889265537261964
3,r1_linear,0,15.0,heldout,0.30625,2.2299215316772463
3,r1_linear,0,30.0,train,0.265625,2.1830650329589845
3,r1_linear,0,45.0,heldout,0.2015625,2.190706157684326
3,r1_linear,0,60.0,train,0.1203125,2.267235612869263
3,r1_linear,0,75.0,heldout,0.1375,2.374433898925781
3,r1_linear,1,-75.0,heldout,0.4796875,1.5811383724212646
3,r1_linear,1,-60.0,train,0.61875,1.2326323986053467
3,r1_linear,1,-45.0,heldout,0.709375,0.9424722075462342
3,r1_linear,1,-30.0,train,0.7640625,0.8635342001914978
3,r1_linear,1,-15.0,heldout,0.7328125,0.9334938764572144
3,r1_linear,1,0.0,train,0.6171875,1.0803038120269775
3,r1_linear,1,15.0,heldout,0.525,1.3154952764511108
3,r1_linear,1,30.0,train,0.4171875,1.6412404775619507
3,r1_linear,1,45.0,heldout,0.2640625,2.073935031890869
3,r1_linear,1,60.0,train,0.1453125,2.440266180038452
3,r1_linear,1,75.0,heldout,0.125,2.6259499549865724
3,r1_linear,2,-75.0,heldout,0.2046875,2.398685884475708
3,r1_linear,2,-60.0,train,0.2828125,1.9747352123260498
3,r1_linear,2,-45.0,heldout,0.4984375,1.375870156288147
3,r1_linear,2,-30.0,train,0.7453125,0.7984514355659484
3,r1_linear,2,-15.0,heldout,0.9,0.3626347541809082
3,r1_linear,2,0.0,train,0.93125,0.2781997412443161
3,r1_linear,2,15.0,heldout,0.86875,0.4766141414642334
