model_seed,method,angle,best_accuracy,final_accuracy,forgetting
4,r0_mlp,-60.0,0.5921875,0.30625,0.28593749999999996
4,r0_mlp,-30.0,0.7609375,0.634375,0.12656250000000002
4,r0_mlp,0.0,0.9359375,0.9,0.035937499999999956
4,r0_mlp,30.0,0.8015625,0.8015625,0.0
4,r0_mlp,60.0,0.5375,0.5375,0.0
4,r1_linear,-60.0,0.5953125,0.303125,0.29218750000000004
4,r1_linear,-30.0,0.7546875,0.6203125,0.1343749999999999
4,r1_linear,0.0,0.9359375,0.89375,0.04218749999999993
4,r1_linear,30.0,0.7984375,0.7984375,0.0
4,r1_linear,60.0,0.540625,0.540625,0.0
4,r2_prototype_energy,-60.0,0.5578125,0.346875,0.21093750000000006
4,r2_prototype_energy,-30.0,0.75,0.5765625,0.17343750000000002
4,r2_prototype_energy,0.0,0.9296875,0.8734375,0.05625000000000002
4,r2_prototype_energy,30.0,0.8109375,0.8109375,0.0
4,r2_prototype_energy,60.0,0.5703125,0.5703125,0.0
