model_seed,contrast,partition,geometry,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
4,r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.05124861417195059,0.033648290688595234,0.06915906129436002,640
4,r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,-0.041711643061208455,-0.04899237503316719,-0.034165012959363236,640
4,r2_prototype_energy_vs_r0_mlp,trained,functional,rho,0.04990780740582397,0.030252325107055663,0.07034890315052278,640
4,r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.16954762380717373,-0.1791113567170534,-0.15994805832101824,640
4,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.04541245874470437,0.0312852188778659,0.059248504439567924,640
4,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.049641721390055724,-0.055588704635712916,-0.04353104281546712,640
4,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,0.058812289518413066,0.04295409409243536,0.07466745917615154,640
4,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.16651989826282618,-0.17508265474859916,-0.15844815512214916,640
4,r2_prototype_energy_vs_r1_linear,trained,nominal,rho,-0.0743700819611562,-0.09587264972903856,-0.05327993642263242,640
4,r2_prototype_energy_vs_r1_linear,trained,nominal,stress,0.054673898597853765,0.045752540305403856,0.06396964092542326,640
4,r2_prototype_energy_vs_r1_linear,trained,functional,rho,-0.05393022770420382,-0.07780676834077814,-0.031041911313774696,640
4,r2_prototype_energy_vs_r1_linear,trained,functional,stress,0.036060175726205054,0.02558539374053292,0.04678755970624387,640
4,r2_prototype_energy_vs_r1_linear,heldout_dense,nominal,rho,-0.07703894105469425,-0.09347995707722734,-0.06129615707441268,640
4,r2_prototype_energy_vs_r1_linear,heldout_dense,nominal,stress,0.04516350576535266,0.03775865285531316,0.05244756446972811,640
4,r2_prototype_energy_vs_r1_linear,heldout_dense,functional,rho,-0.058760419205740634,-0.0772969238181386,-0.040712287995573714,640
4,r2_prototype_energy_vs_r1_linear,heldout_dense,functional,stress,0.029758737834383375,0.021169092760373195,0.038325804969072154,640
4,r1_linear_vs_r0_mlp,trained,nominal,rho,0.12561869613310678,0.09739967965712722,0.15465014219033937,640
4,r1_linear_vs_r0_mlp,trained,nominal,stress,-0.09638554165906223,-0.10813210452361902,-0.08478802171610772,640
4,r1_linear_vs_r0_mlp,trained,functional,rho,0.10383803511002779,0.07670308573421651,0.1341064995577868,640
4,r1_linear_vs_r0_mlp,trained,functional,stress,-0.2056077995333788,-0.21817268926062333,-0.19315273250117365,640
4,r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,0.1224513997993986,0.09891337232966343,0.14582488311060074,640
4,r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,-0.09480522715540839,-0.10428885286994583,-0.08506917882771621,640
4,r1_linear_vs_r0_mlp,heldout_dense,functional,rho,0.11757270872415373,0.09337376702045075,0.1423418636567486,640
4,r1_linear_vs_r0_mlp,heldout_dense,functional,stress,-0.19627863609720955,-0.20614797849129077,-0.1858733814511027,640
