model_seed,angle,row,column,value
2,-75.0,0,0,0.10521745911828267
2,-75.0,0,1,-0.048507492306477155
2,-75.0,0,2,0.03055464080158266
2,-75.0,0,3,-0.0059784503494790175
2,-75.0,1,0,-0.048507492306477155
2,-75.0,1,1,0.08755299269870025
2,-75.0,1,2,-0.06100549150233649
2,-75.0,1,3,-0.005393812149190353
2,-75.0,2,0,0.03055464080158266
2,-75.0,2,1,-0.06100549150233649
2,-75.0,2,2,0.2038288714260687
2,-75.0,2,3,-0.0427886412100112
2,-75.0,3,0,-0.0059784503494790175
2,-75.0,3,1,-0.005393812149190353
2,-75.0,3,2,-0.0427886412100112
2,-75.0,3,3,0.08676996633970295
2,-60.0,0,0,0.14953164296157992
2,-60.0,0,1,-0.05578499399784055
2,-60.0,0,2,0.028065674432613496
2,-60.0,0,3,-0.015112401629873196
2,-60.0,1,0,-0.05578499399784055
2,-60.0,1,1,0.09274695697462927
2,-60.0,1,2,-0.05954338659927762
2,-60.0,1,3,0.001685357108274528
2,-60.0,2,0,0.028065674432613496
2,-60.0,2,1,-0.05954338659927762
2,-60.0,2,2,0.24400912404784914
2,-60.0,2,3,-0.05313174256701734
2,-60.0,3,0,-0.015112401629873196
2,-60.0,3,1,0.001685357108274528
2,-60.0,3,2,-0.05313174256701734
2,-60.0,3,3,0.09636758417912146
2,-45.0,0,0,0.20606118224887351
2,-45.0,0,1,-0.04189896952630707
2,-45.0,0,2,0.008291187417057137
2,-45.0,0,3,-0.03385515649437379
2,-45.0,1,0,-0.04189896952630707
2,-45.0,1,1,0.10347651066419902
2,-45.0,1,2,-0.047438701142105785
2,-45.0,1,3,-0.02483506878831621
2,-45.0,2,0,0.008291187417057137
2,-45.0,2,1,-0.047438701142105785
2,-45.0,2,2,0.28613570854346776
2,-45.0,2,3,-0.07038562617743452
2,-45.0,3,0,-0.03385515649437379
2,-45.0,3,1,-0.02483506878831621
2,-45.0,3,2,-0.07038562617743452
2,-45.0,3,3,0.14972855555492004
2,-30.0,0,0,0.2081744542479716
2,-30.0,0,1,-0.036611144593275205
2,-30.0,0,2,-0.025906915519607637
2,-30.0,0,3,-0.01678428873076789
2,-30.0,1,0,-0.036611144593275205
2,-30.0,1,1,0.1252207834926547
2,-30.0,1,2,-0.05128099051567316
2,-30.0,1,3,-0.05666899085331949
2,-30.0,2,0,-0.025906915519607637
2,-30.0,2,1,-0.05128099051567316
2,-30.0,2,2,0.30911243933717747
2,-30.0,2,3,-0.05492733548501704
2,-30.0,3,0,-0.01678428873076789
2,-30.0,3,1,-0.05666899085331949
2,-30.0,3,2,-0.05492733548501704
2,-30.0,3,3,0.16818264234736033
2,-15.0,0,0,0.21404669451273067
2,-15.0,0,1,-0.05107278731913706
2,-15.0,0,2,-0.0417090052422429
2,-15.0,0,3,-0.008100771113828455
2,-15.0,1,0,-0.05107278731913706
2,-15.0,1,1,0.1255785857468551
2,-15.0,1,2,-0.07358480351039409
2,-15.0,1,3,-0.04898858173609719
2,-15.0,2,0,-0.0417090052422429
2,-15.0,2,1,-0.07358480351039409
2,-15.0,2,2,0.3324155041625534
2,-15.0,2,3,-0.0361957886565807
2,-15.0,3,0,-0.008100771113828455
2,-15.0,3,1,-0.04898858173609719
2,-15.0,3,2,-0.0361957886565807
2,-15.0,3,3,0.1476570578984402
2,0.0,0,0,0.2037547991586739
2,0.0,0,1,-0.05224572651013462
2,0.0,0,2,-0.041992450361571246
2,0.0,0,3,-0.013449681110379516
2,0.0,1,0,-0.05224572651013462
2,0.0,1,1,0.11091499139665646
2,0.0,1,2,-0.06127366231899995
2,0.0,1,3,-0.03810250178893554
2,0.0,2,0,-0.041992450361571246
2,0.0,2,1,-0.06127366231899995
2,0.0,2,2,0.3399513072454651
2,0.0,2,3,-0.04489928333922691
2,0.0,3,0,-0.013449681110379516
2,0.0,3,1,-0.03810250178893554
2,0.0,3,2,-0.04489928333922691
2,0.0,3,3,0.15212414141752076
2,15.0,0,0,0.19557885201586836
2,15.0,0,1,-0.0483571245178551
2,15.0,0,2,-0.040808781496227076
2,15.0,0,3,-0.008500737753661782
2,15.0,1,0,-0.0483571245178551
2,15.0,1,1,0.10448043592881327
2,15.0,1,2,-0.03628642527748068
2,15.0,1,3,-0.03800263235732103
2,15.0,2,0,-0.040808781496227076
2,15.0,2,1,-0.03628642527748068
2,15.0,2,2,0.32446391225180665
2,15.0,2,3,-0.07029456588251637
2,15.0,3,0,-0.008500737753661782
2,15.0,3,1,-0.03800263235732103
2,15.0,3,2,-0.07029456588251637
2,15.0,3,3,0.164514351484944
2,30.0,0,0,0.18330325268548428
2,30.0,0,1,-0.03193931637937466
2,30.0,0,2,-0.0231170291312235
2,30.0,0,3,-0.024724276785738842
2,30.0,1,0,-0.03193931637937466
2,30.0,1,1,0.09581666815693622
