model_seed,method,variant,root_route_r2,root_chord_error,functional_transport_error,evaluation_samples
2,r0_mlp,full_context,0.9914183523453308,0.006354015796091317,5.871985990779649e-07,642
2,r0_mlp,angle_shuffled,0.10437046090107686,0.07200268615200849,0.08964715898036957,642
2,r0_mlp,tangent_removed,0.9206585578170754,0.019023228248672912,0.010983824729919434,642
2,r0_mlp,matched_orthogonal_component,0.4955000184958655,0.05280041595790689,0.06349923461675644,642
2,r1_linear,full_context,0.9986282095729664,0.0015672586635965728,1.3487777117404676e-08,642
2,r1_linear,angle_shuffled,0.07822688345745854,0.04685686907656705,0.05233312025666237,642
2,r1_linear,tangent_removed,0.8460545614930285,0.01663864085249428,0.008068378083407879,642
2,r1_linear,matched_orthogonal_component,0.1542639416778635,0.043935087525754556,0.04802514612674713,642
2,r2_prototype_energy,full_context,0.9233761851705019,0.09497699972592866,0.09108705073595047,642
2,r2_prototype_energy,angle_shuffled,0.042894749114890385,0.39819043410985977,0.4724041223526001,642
2,r2_prototype_energy,tangent_removed,0.7653221562790293,0.1699620427670461,0.19895991683006287,642
2,r2_prototype_energy,matched_orthogonal_component,0.365904832041608,0.31283752954772354,0.37459829449653625,642
2,r3_hybrid_energy,full_context,0.9002231438284065,0.1202919767342642,0.11737500131130219,642
2,r3_hybrid_energy,angle_shuffled,0.05579592523314494,0.45537343860600193,0.5227598547935486,642
2,r3_hybrid_energy,tangent_removed,0.7143824544057191,0.21174281773565595,0.23208793997764587,642
2,r3_hybrid_energy,matched_orthogonal_component,0.32501189361182997,0.3694236541892839,0.43540069460868835,642
2,r4_smooth_residual,full_context,0.9931452128701218,0.007209424693598606,4.020713458885439e-05,642
2,r4_smooth_residual,angle_shuffled,0.09417713691637342,0.09387903792867908,0.11147286742925644,642
2,r4_smooth_residual,tangent_removed,0.9375138516108281,0.022134637092177726,0.015746945515275,642
2,r4_smooth_residual,matched_orthogonal_component,0.31315671612903556,0.08021851034474194,0.09964720904827118,642
2,r5_smooth_residual_continuity,full_context,0.991326071034656,0.007035145040973707,1.750672709022183e-05,642
2,r5_smooth_residual_continuity,angle_shuffled,0.013306201655421629,0.08672791018577747,0.10604286938905716,642
2,r5_smooth_residual_continuity,tangent_removed,0.6496898556570637,0.04661314252361415,0.05830959603190422,642
2,r5_smooth_residual_continuity,matched_orthogonal_component,0.5235488351568316,0.056278627405860204,0.07339419424533844,642
