method,context_dim,context_rho,context_stress,context_centroid_rho,route_rho,fiber_resultant_length,heldout_context_probe_mae,heldout_context_probe_r2,mean_path_variance,effective_rank,far_to_near_ratio,mean_raw_context_norm,mean_interpolation_accuracy,final_trained_accuracy,mean_forgetting,qualification_status
cb_d2_no_geo,2,0.2469567425165797,0.557122701798743,0.7055623160417382,0.2334741855905288,0.2485762266473997,27.28766585354011,0.0828418881839655,0.1268478976689114,1.4823313754622198,1.472289863597183,0.9839489278385016,0.662109375,0.60234375,0.10859375,not_qualified
cb_d2_route_geo,2,0.182026933379152,0.572414194399868,0.9534625892455922,0.1762664302357932,0.0854194320093639,27.948240374157287,0.0787694137431098,0.1982824280850181,1.8386838393372744,1.3634962273345352,1.0547932619195235,0.6728515625,0.6125,0.09921875,not_qualified
cb_d2_context_geo,2,0.206980837082064,0.5774217109622339,-0.0254256690465491,0.2593964497356433,0.2872478212994877,29.90032853879348,-0.0012581077464517,0.367019640628497,1.816379183792297,1.440038165466862,0.7712298212132589,0.662109375,0.60859375,0.11640625,not_qualified
cb_d2_route_context_geo,2,0.1878619257872956,0.5813614254054407,-0.0762770071396473,0.2515999066881663,0.3187867963283288,29.74866343822074,0.0041196416175561,0.3414460258687691,1.8082608789570176,1.4238616466620455,0.7804292417250013,0.654296875,0.59921875,0.125,not_qualified
cb_d2_full_alignment,2,0.4025648166520518,0.4940428860625612,0.3432465321284132,0.3271071914250373,0.3415567253830952,27.45825774646041,0.089455905785751,0.6080906120130962,1.8375869873869373,1.6086854749101474,0.6566244983241875,0.6455078125,0.59140625,0.1328125,not_qualified
cb_d4_no_geo,4,0.3013339058094924,0.4664905686601196,0.6483545606870027,0.1916112187814644,0.226920999172246,28.99425846359476,-0.008714777544043,0.0874011688309809,2.636277237376043,1.3638851973614754,1.4442052800583818,0.6474609375,0.58125,0.13046875,not_qualified
cb_d4_full_alignment,4,0.5414376359658695,0.3880131839146293,0.5593647190240808,0.3562324939558987,0.5565523224109099,22.687285730371634,0.3008490655878992,0.6383991195492329,3.493217171318188,1.5729068739045688,0.7935247949452258,0.65234375,0.58828125,0.12421875,not_qualified
