model_seed,method,partition,space,source_rho_mean,source_rho_ci_low,source_rho_ci_high,source_stress_mean,source_stress_ci_low,source_stress_ci_high,centroid_rho,centroid_stress
2,d4_no_geo,C1_trained,context,0.3712544956875025,0.32936173317252426,0.41299331372192544,0.46031467346125626,0.4457341149728349,0.47601817743894365,0.25425669046549126,0.495169016855088
2,d4_no_geo,C1_trained,route,0.23973128383245296,0.2026064550075759,0.27733532692744567,0.5518471866285546,0.5362207500085886,0.5668736013168936,0.2669695249887658,0.5430890271409922
2,d4_no_geo,C1_trained,synthesis,0.5564844674524014,0.5186830278057291,0.5929010275179496,0.3710868244072425,0.362234632501941,0.3805027750693617,0.7691264886581111,0.3633216052174606
2,d4_no_geo,dense_heldout,context,0.3292612181083775,0.2939047560225341,0.36286111366819973,0.49813963361378594,0.48511452128234045,0.5104970202604695,0.09590244476323126,0.6215951991480536
2,d4_no_geo,dense_heldout,route,0.24481346739363916,0.20858889799154198,0.2786312903087865,0.5785870510401052,0.5627296127485867,0.5931706450862052,0.03135272232644099,0.6524029799944602
2,d4_no_geo,dense_heldout,synthesis,0.47217113373099007,0.43681827375019333,0.5052757398468916,0.41637983496136516,0.40809265102842746,0.424783659200397,0.42418389029890746,0.46320222332750655
2,d4_full_legacy_route,C1_trained,context,0.4934665494444505,0.45491028524795873,0.5326528686722473,0.4151854393161508,0.4010703646918724,0.43066216017842324,0.4004542874831488,0.44806147417612147
2,d4_full_legacy_route,C1_trained,route,0.31849126646492737,0.28376375047837493,0.3556458909957183,0.5195710512713737,0.5047947004006577,0.5342311833690828,0.0699205898780101,0.6283650278675116
2,d4_full_legacy_route,C1_trained,synthesis,0.5482906483260721,0.5103687843679977,0.5822496833975946,0.372775213712577,0.3634758055981475,0.3824150456859676,0.5339390499775316,0.3971648414577898
2,d4_full_legacy_route,dense_heldout,context,0.3943944815627325,0.3589236526416565,0.4306487683314649,0.4680693004832036,0.45515119933069725,0.4810221462999693,0.2747973898023357,0.5412017569724555
2,d4_full_legacy_route,dense_heldout,route,0.24630473888297125,0.21355530032467396,0.27757551331959995,0.5707224995538208,0.5558450180344384,0.5838548391957995,0.07561538914024003,0.6346483394378769
2,d4_full_legacy_route,dense_heldout,synthesis,0.4601689197153994,0.4255281959023344,0.49282254227945455,0.41986446119313614,0.41123297708242273,0.4286754191452419,0.3596341678621172,0.4896024198195817
2,d4_full_stationary_route,C1_trained,context,0.47874250477198604,0.44195163615089433,0.5160237610529111,0.4227756543917353,0.4088713349562332,0.43734562200699717,0.5275826327158943,0.44140523516808333
2,d4_full_stationary_route,C1_trained,route,0.3130038906257796,0.2761962619201112,0.3496060531094165,0.5360257206018043,0.5195524132407242,0.5514651734293381,-0.07627700713964738,0.6464716889396767
2,d4_full_stationary_route,C1_trained,synthesis,0.5429770807714223,0.5046591822222418,0.5778529545436711,0.37455716488600355,0.3654155126065128,0.38428399824805787,0.48308771188443345,0.41723084044395076
2,d4_full_stationary_route,dense_heldout,context,0.36674472322429486,0.333600674058132,0.40046150709288236,0.4833711674722026,0.47045926416290257,0.49612390709439336,0.3448799455908509,0.5224644684900807
2,d4_full_stationary_route,dense_heldout,route,0.2475078419685677,0.21479640561851304,0.2794808467840498,0.5855791995396474,0.570570363408694,0.5993434685527972,0.06823827800460687,0.6497520843873521
2,d4_full_stationary_route,dense_heldout,synthesis,0.45539252842348066,0.4205958334618938,0.4881743859271982,0.4223429952765075,0.41351793018206745,0.43109230648902597,0.2987730009931435,0.5038539949131069
