model_seed,method,space,mae,rmse,r2
2,d4_no_geo,context,43.74941318881167,51.19677619578808,0.0014819455841472706
2,d4_no_geo,route,43.70288251637035,50.98729481676058,0.00963648276904372
2,d4_full_legacy_route,context,41.609162667638294,49.650628488126095,0.06088193932726915
2,d4_full_legacy_route,route,42.78436950147824,50.50037771211963,0.028461657498381476
2,d4_full_stationary_route,context,38.74168730128762,47.05614373163245,0.15646450937445644
2,d4_full_stationary_route,route,42.67453968077829,50.24719112756783,0.038178965253207076
