model_seed,method,angle,best_accuracy,final_accuracy,forgetting
2,d4_no_geo,-60.0,0.58984375,0.31640625,0.2734375
2,d4_no_geo,-30.0,0.73828125,0.6171875,0.12109375
2,d4_no_geo,0.0,0.91796875,0.87890625,0.0390625
2,d4_no_geo,30.0,0.78125,0.78125,0.0
2,d4_no_geo,60.0,0.51953125,0.50390625,0.015625
2,d4_full_legacy_route,-60.0,0.5859375,0.32421875,0.26171875
2,d4_full_legacy_route,-30.0,0.73828125,0.6328125,0.10546875
2,d4_full_legacy_route,0.0,0.91015625,0.87890625,0.03125
2,d4_full_legacy_route,30.0,0.7890625,0.7890625,0.0
2,d4_full_legacy_route,60.0,0.51171875,0.51171875,0.0
2,d4_full_stationary_route,-60.0,0.5859375,0.32421875,0.26171875
2,d4_full_stationary_route,-30.0,0.73828125,0.62109375,0.1171875
2,d4_full_stationary_route,0.0,0.91015625,0.88671875,0.0234375
2,d4_full_stationary_route,30.0,0.78125,0.78125,0.0
2,d4_full_stationary_route,60.0,0.51953125,0.51953125,0.0
