model_seed,method,scale,csr,csr_ci_low,csr_ci_high,signed_route_effect,orthogonal_abs_effect,class_log_prob_drop,prediction_preservation,prediction_preservation_ci_low,prediction_preservation_ci_high
0,d4_no_geo,-0.5,0.13445775990429387,0.04803256092222201,0.22802184778073697,-0.004923279826925864,0.03661581027699867,0.0008016708306968212,1.0,1.0,1.0
0,d4_no_geo,-0.25,0.07872055828912994,0.016410428790409874,0.1463641938120995,-0.0015311282348307031,0.019450169918854954,-0.00020506240252871066,1.0,1.0,1.0
0,d4_no_geo,0.0,0.0,0.0,0.0,6.44559447482429e-10,4.050265976773826e-09,-2.3283064365386963e-09,1.0,1.0,1.0
0,d4_no_geo,0.25,0.03167138665619802,0.0016252025170572562,0.08320300310133717,-0.0006542016215007607,0.020655919761338737,0.0012685046822298318,1.0,1.0,1.0
0,d4_no_geo,0.5,0.07090965287280451,0.01254761150658423,0.13229376012852323,-0.0028757001555277384,0.04055442438402679,0.0030941164441173896,1.0,1.0,1.0
0,d4_full_legacy_route,-0.5,0.61527348851774,0.5564377862828661,0.6829307960945193,-0.04105459435231751,0.06672576523851603,-0.0030839956598356366,0.9765625,0.9453125,1.0
0,d4_full_legacy_route,-0.25,0.5166741603432762,0.45261590663355505,0.5796834110808233,-0.018275979568898038,0.035372350645047845,-0.0017215233237948269,0.9921875,0.9765625,1.0
0,d4_full_legacy_route,0.0,0.0,0.0,0.0,1.9863153899457586e-09,4.373148225489398e-09,4.976755008101463e-09,1.0,1.0,1.0
0,d4_full_legacy_route,0.25,0.2854862824924172,0.20317392781304267,0.36777174929501466,0.010140477468667086,0.0355200165140559,0.002001624699914828,0.9921875,0.9765625,1.0
0,d4_full_legacy_route,0.5,0.1796811271399234,0.08080700584533995,0.2748066049654061,0.012055844854330644,0.06709577709261794,0.004257354055880569,0.9921875,0.9765625,1.0
0,d4_full_stationary_route,-0.5,0.6581103592317872,0.5962094956434664,0.7152388593093792,-0.05093700328870909,0.07739887782372534,-0.0063208279316313565,0.984375,0.9609375,1.0
0,d4_full_stationary_route,-0.25,0.5675604786420747,0.5027930847771104,0.6299709934773975,-0.022854427492347895,0.040267827575007686,-0.0032950044551398605,0.984375,0.9609375,1.0
0,d4_full_stationary_route,0.0,0.0,0.0,0.0,4.781110306273373e-09,7.106117035082793e-09,1.4551915228366852e-09,1.0,1.0,1.0
0,d4_full_stationary_route,0.25,0.3471581055537016,0.2644820828301608,0.4275332618829903,0.013783344338662573,0.03970336315978784,0.0038491822488140315,1.0,1.0,1.0
0,d4_full_stationary_route,0.5,0.24011084053127996,0.13600581077312057,0.3395233182387405,0.01806953850973514,0.07525498836184852,0.008435432115220465,0.9921875,0.9765625,1.0
1,d4_no_geo,-0.5,0.5330071979401049,0.457370046870118,0.6229869451980591,-0.027369305298634572,0.05134884745348245,-0.0057771205611061305,0.9921875,0.9765625,1.0
1,d4_no_geo,-0.25,0.37534121917882685,0.31426707628761247,0.44212050504369005,-0.010006763513956685,0.026660443891159957,-0.002360184123972431,0.9921875,0.9765625,1.0
1,d4_no_geo,0.0,0.0,0.0,0.0,4.625301336380616e-09,6.92125435436397e-09,2.9685907065868378e-09,1.0,1.0,1.0
1,d4_no_geo,0.25,0.005500011897877077,0.00038164431146237433,0.025999224109153406,0.0001452343897199171,0.026406195553136058,0.0007127097924239933,1.0,1.0,1.0
1,d4_no_geo,0.5,0.15547519197146675,0.12358552103424954,0.19457085486824785,-0.00798370527922998,0.051350348425330594,-5.840029916726053e-05,0.9921875,0.9765625,1.0
1,d4_full_legacy_route,-0.5,1.4946841720740585,1.3914154357159134,1.6087531960499264,-0.07856684286889504,0.05256417665805202,0.010268375655869022,0.984375,0.9609375,1.0
1,d4_full_legacy_route,-0.25,1.5143891521505948,1.4146839694774649,1.6263389972610889,-0.04174937798597966,0.027568460805923678,0.00342640167218633,0.9921875,0.9765625,1.0
1,d4_full_legacy_route,0.0,0.0,0.0,0.0,5.049298895665189e-10,6.073076942378353e-09,-7.8580342233181e-09,1.0,1.0,1.0
1,d4_full_legacy_route,0.25,1.482577909892001,1.3632376223707525,1.6140929734221883,0.039740823887768784,0.02680521787260659,0.0014276315487222746,1.0,1.0,1.0
1,d4_full_legacy_route,0.5,1.4254084720249918,1.2876592658129637,1.5607033331599913,0.07153194264651574,0.05018346954602748,0.006063042979803868,1.0,1.0,1.0
1,d4_full_stationary_route,-0.5,1.4117185285956602,1.2969283572321408,1.5288250312107483,-0.08744479823326401,0.06194209147361107,0.006821219198172912,0.984375,0.9609375,1.0
1,d4_full_stationary_route,-0.25,1.4097399769332486,1.3149189139327704,1.5059204857368051,-0.04516333899300662,0.03203664486500202,0.0018407545139780268,0.984375,0.9609375,1.0
1,d4_full_stationary_route,0.0,0.0,0.0,0.0,2.225728525095949e-09,7.2960545933857535e-09,3.841705620288849e-09,1.0,1.0,1.0
1,d4_full_stationary_route,0.25,1.2954388529592826,1.1941343870308279,1.403232755965449,0.040757005974683125,0.03146192958593019,0.0022925600787857547,1.0,1.0,1.0
1,d4_full_stationary_route,0.5,1.1812092510909888,1.059302209155125,1.2976188773082735,0.07159176237757947,0.06060887375497259,0.007004559593042359,0.9921875,0.9765625,1.0
2,d4_no_geo,-0.5,0.7455060588612143,0.7193521338308608,0.7703421409206177,-0.05263627188105602,0.07060475398611743,0.019828414398944005,0.9921875,0.9765625,1.0
2,d4_no_geo,-0.25,0.8674842906436941,0.8472728431747106,0.8878723024154281,-0.03243884771654848,0.03739416156167863,0.010416106699267402,1.0,1.0,1.0
2,d4_no_geo,0.0,0.0,0.0,0.0,-2.3064536947003944e-09,4.223620272969519e-09,-1.6298145055770874e-09,1.0,1.0,1.0
2,d4_no_geo,0.25,1.1485613094439668,1.1013341635871023,1.2063389547047452,0.04199101393169258,0.03655966258520493,-0.008887932082870975,1.0,1.0,1.0
2,d4_no_geo,0.5,1.2752217179581378,1.2086650015641083,1.3457406739351025,0.08621798414969817,0.06761019118130207,-0.014290695151430555,0.984375,0.9609375,1.0
2,d4_full_legacy_route,-0.5,1.4806029538121235,1.3425029917111329,1.6319425044502902,-0.017402593803126365,0.011753720846172655,0.0005425085546448827,1.0,1.0,1.0
2,d4_full_legacy_route,-0.25,1.5068090324109336,1.372287333404749,1.6604470682409773,-0.009383869671182765,0.006227643629244994,2.9422109946608543e-05,1.0,1.0,1.0
2,d4_full_legacy_route,0.0,0.0,0.0,0.0,-4.5268572224088643e-10,4.2530160920817295e-09,2.444721758365631e-09,1.0,1.0,1.0
2,d4_full_legacy_route,0.25,1.4856321703244004,1.372182145254473,1.619490662640831,0.00939512088916672,0.00632398858670058,0.0005400956142693758,1.0,1.0,1.0
2,d4_full_legacy_route,0.5,1.446578901721763,1.3315460344672936,1.577991127801075,0.01744162345858058,0.012057153217028826,0.0016128850111272186,1.0,1.0,1.0
2,d4_full_stationary_route,-0.5,0.4925668561721233,0.40211427126327826,0.5943707388437618,-0.014387073646503268,0.029208367282990366,-0.0006276645144680515,0.9921875,0.9765625,1.0
2,d4_full_stationary_route,-0.25,0.5211394502468095,0.4099134250550097,0.6391909760371937,-0.008099365011730697,0.0155416463057918,-0.00046536658192053437,1.0,1.0,1.0
2,d4_full_stationary_route,0.0,0.0,0.0,0.0,1.0923771089077494e-09,3.847568028070292e-09,-4.6566128730773926e-09,1.0,1.0,1.0
2,d4_full_stationary_route,0.25,0.5498489733585289,0.3964106814135374,0.714583593666299,0.008836292659907485,0.016070399487944087,0.0010070815042126924,1.0,1.0,1.0
2,d4_full_stationary_route,0.5,0.5480970730279878,0.39415613675309724,0.720313422054743,0.017115953993197763,0.031227960949763656,0.0028589803114300594,1.0,1.0,1.0
3,d4_no_geo,-0.5,0.45706171875563734,0.4378718892976337,0.4767799023139032,-0.037137251710191777,0.08125215957988985,0.005852288144524209,1.0,1.0,1.0
3,d4_no_geo,-0.25,0.5718844371704391,0.547401604127955,0.5991769178922562,-0.023543937126305536,0.041169046744471416,0.00275277530454332,1.0,1.0,1.0
3,d4_no_geo,0.0,0.0,0.0,0.0,-2.5183389054661554e-09,5.2574267161986654e-09,-1.949956640601158e-09,1.0,1.0,1.0
3,d4_no_geo,0.25,0.8711299826381187,0.7966405306681832,0.9589395107858106,0.03194013086613268,0.03666517225065036,-0.001048817634000443,0.9921875,0.9765625,1.0
3,d4_no_geo,0.5,1.0203838917904924,0.9042151470456262,1.1469998971350555,0.06713521737401607,0.06579407800745685,0.0008038947271415964,0.9765625,0.9453125,1.0
3,d4_full_legacy_route,-0.5,0.3550315921741602,0.2347215963665898,0.4708929538567454,-0.024169535149212606,0.06807713927992154,0.010364784808189142,0.9921875,0.9765625,1.0
3,d4_full_legacy_route,-0.25,0.33580960578397495,0.23010901143100168,0.4508949731763971,-0.012015573099233734,0.0357809094566619,0.004507434852712322,1.0,1.0,1.0
3,d4_full_legacy_route,0.0,0.0,0.0,0.0,1.6794792598740643e-09,3.975676482904228e-09,-5.122274160385132e-09,1.0,1.0,1.0
3,d4_full_legacy_route,0.25,0.2757788760681006,0.19906064594640246,0.3586551829507573,0.009604871394685688,0.034828162082703784,-0.002859715445083566,1.0,1.0,1.0
3,d4_full_legacy_route,0.5,0.2430301126739174,0.17807921954969338,0.3080363364517401,0.015773922597873025,0.06490521863452159,-0.004231928010995034,0.9921875,0.9765625,1.0
3,d4_full_stationary_route,-0.5,0.33029892579603504,0.2427090975724226,0.42250747228782415,-0.026004644469139748,0.07873063591250684,0.003233682640711777,0.9921875,0.9765625,1.0
3,d4_full_stationary_route,-0.25,0.2836363548936877,0.2081448247554992,0.3653773365076582,-0.011701472983531858,0.041255194482801016,0.001214946067193523,0.9921875,0.9765625,1.0
3,d4_full_stationary_route,0.0,0.0,0.0,0.0,1.2280979150292026e-09,7.04138649297581e-09,-2.3283064365386963e-09,1.0,1.0,1.0
3,d4_full_stationary_route,0.25,0.17309543187451698,0.1301978351504285,0.21808189373498596,0.006941902269659295,0.04010447990731336,-0.0007167579824454151,0.9921875,0.9765625,1.0
3,d4_full_stationary_route,0.5,0.12169367525841114,0.08891595835561814,0.1589540693779733,0.009123556717440806,0.07497149459959473,-0.0011018712539225817,0.9921875,0.9765625,1.0
4,d4_no_geo,-0.5,0.3406113004508205,0.2141779888281306,0.45627133052071683,-0.025216623827873264,0.07403343281475827,0.010389585251687095,0.9921875,0.9765625,1.0
4,d4_no_geo,-0.25,0.41530940092255875,0.3177590832184881,0.5108942496196457,-0.015822444924197043,0.03809796958375955,0.0043685506825568154,1.0,1.0,1.0
4,d4_no_geo,0.0,0.0,0.0,0.0,-1.9871780262969985e-09,4.816917469063764e-09,-9.778887033462524e-09,1.0,1.0,1.0
4,d4_no_geo,0.25,0.5649127977095343,0.4961681963135068,0.6277743535555811,0.020475230607189587,0.03624494026371394,-0.0022927397512830794,1.0,1.0,1.0
4,d4_no_geo,0.5,0.6243198773664619,0.5580049052928802,0.6894602549461274,0.04201755037684052,0.06730131764197722,-0.002890606672735885,1.0,1.0,1.0
4,d4_full_legacy_route,-0.5,0.12327093248280284,0.050260639218709074,0.2096523042920694,0.00725379750861066,0.058844346858677454,-0.0019390758097870275,0.9921875,0.9765625,1.0
4,d4_full_legacy_route,-0.25,0.12642018086951862,0.056159470459080395,0.19871831993424674,0.003839539909222367,0.030371257838851307,-0.0007220376719487831,0.9921875,0.9765625,1.0
4,d4_full_legacy_route,0.0,0.0,0.0,0.0,-2.5385021341917113e-10,4.393999830654138e-09,3.055902197957039e-09,1.0,1.0,1.0
4,d4_full_legacy_route,0.25,0.13505001219090454,0.04459270438745188,0.22392454342116755,-0.004010100478922141,0.02969344773737248,0.0002296898455824703,1.0,1.0,1.0
4,d4_full_legacy_route,0.5,0.13718144211874733,0.03100857843825948,0.24833143601604815,-0.0077780115370842395,0.056698715343372896,0.000519178865943104,0.9921875,0.9765625,1.0
4,d4_full_stationary_route,-0.5,0.02412895811802381,0.0013174093035590495,0.09354914135758016,0.0016366433865186991,0.06782901186670642,-0.001176470090285875,1.0,1.0,1.0
4,d4_full_stationary_route,-0.25,0.047547751274309845,0.0026043318681209454,0.10728264434049278,0.00165243504557111,0.03475316920957994,-0.0004127047141082585,0.9921875,0.9765625,1.0
4,d4_full_stationary_route,0.0,0.0,0.0,0.0,3.05758346419438e-09,6.068980394624557e-09,1.1088559404015541e-08,1.0,1.0,1.0
4,d4_full_stationary_route,0.25,0.11559870738769373,0.037080291703503465,0.19158000932511873,-0.003956250735996036,0.03422400496856426,9.286831482313573e-05,1.0,1.0,1.0
4,d4_full_stationary_route,0.5,0.14483757120024437,0.050483512949400705,0.24312481264218994,-0.009611102720555209,0.06635780095530208,0.0006130103283794597,0.9921875,0.9765625,1.0
